FIPS,State,County,REDEMP_SNAPS12,REDEMP_SNAPS17,PCH_REDEMP_SNAPS_12_17,PCT_SNAP12*,PCT_SNAP17*,PCH_SNAP_12_17*,PC_SNAPBEN12,PC_SNAPBEN17,PCH_PC_SNAPBEN_12_17,SNAP_PART_RATE11*,SNAP_PART_RATE16*,SNAP_OAPP09*,SNAP_OAPP16*,SNAP_CAP09*,SNAP_CAP16*,SNAP_BBCE09*,SNAP_BBCE16*,SNAP_REPORTSIMPLE09*,SNAP_REPORTSIMPLE16*,PCT_NSLP12*,PCT_NSLP17*,PCH_NSLP_12_17*,PCT_FREE_LUNCH10,PCT_FREE_LUNCH15,PCT_REDUCED_LUNCH10,PCT_REDUCED_LUNCH15,PCT_SBP12*,PCT_SBP17*,PCH_SBP_12_17*,PCT_SFSP12*,PCT_SFSP17*,PCH_SFSP_12_17*,PC_WIC_REDEMP11,PC_WIC_REDEMP16,PCH_PC_WIC_REDEMP_11_16,REDEMP_WICS11,REDEMP_WICS16,PCH_REDEMP_WICS_11_16,PCT_WIC12*,PCT_WIC17*,PCH_WIC_12_17*,PCT_WICINFANTCHILD14*,PCT_WICINFANTCHILD16*,PCH_WICINFANTCHILD_14_16*,PCT_WICWOMEN14*,PCT_WICWOMEN16*,PCH_WICWOMEN_14_16*,PCT_CACFP12*,PCT_CACFP17*,PCH_CACFP_12_17*,FDPIR12,FDPIR15,PCH_FDPIR_12_15,FOOD_BANKS18
36071,NY,Orange,"319,195.0635883549","256,378.00696917213",-19.679833363649337,15.67820276611815,14.664897410747802,-1.0133053553703473,17.08188247680664,13.739035606384277,-19.56954574584961,78.52,92.754,0.5,1,1,1,1,1,1,1,56.89406790032932,54.959063499631746,-1.9350044006975722,26.50820953870211,35.613039810787114,8.528537920250196,6.008832139726436,20.402411476527774,25.09393810919609,4.691526632668314,11.68858564841723,13.770330492029048,2.0817448436118173,19.910335540771484,19.51532745361328,-1.9839348793029785,"137,943.59375","127,201.90625",-7.787014484405518,2.6707625981196115,2.1934266120601436,-0.4773359860594679,31.33497057913725,29.61600139401037,-1.718969185126877,2.8322022631938153,2.65355797165047,-0.17864429154334527,1.5153837048695393,1.568963120747384,0.05357941587784465,0,0,0,0
36073,NY,Orleans,"256,859.11704142013","229,797.3059602649",-10.53566304862418,15.67820276611815,14.664897410747802,-1.0133053553703473,18.78302574157715,17.287656784057617,-7.961278438568115,78.52,92.754,0.5,1,1,1,1,1,1,1,56.89406790032932,54.959063499631746,-1.9350044006975722,33.46024308097818,44.83294483294483,9.43037047884024,7.459207459207459,20.402411476527774,25.09393810919609,4.691526632668314,11.68858564841723,13.770330492029048,2.0817448436118173,12.347192764282227,12.569742202758789,1.802429437637329,"87,735.03125","103,564.6171875",18.042491912841797,2.6707625981196115,2.1934266120601436,-0.4773359860594679,31.33497057913725,29.61600139401037,-1.718969185126877,2.8322022631938153,2.65355797165047,-0.17864429154334527,1.5153837048695393,1.568963120747384,0.05357941587784465,0,0,0,0
36075,NY,Oswego,"298,546.727769029","253,421.88500907444",-15.11483414913374,15.67820276611815,14.664897410747802,-1.0133053553703473,22.760202407836914,19.32848358154297,-15.077716827392578,78.52,92.754,0.5,1,1,1,1,1,1,1,56.89406790032932,54.959063499631746,-1.9350044006975722,34.51492537313433,46.718943458522496,9.874067164179104,6.763309946347502,20.402411476527774,25.09393810919609,4.691526632668314,11.68858564841723,13.770330492029048,2.0817448436118173,17.850339889526367,14.744050025939941,-17.401853561401367,"68,036.015625","87,639.375",28.813209533691406,2.6707625981196115,2.1934266120601436,-0.4773359860594679,31.33497057913725,29.61600139401037,-1.718969185126877,2.8322022631938153,2.65355797165047,-0.17864429154334527,1.5153837048695393,1.568963120747384,0.05357941587784465,0,0,0,0
36077,NY,Otsego,"204,796.94461538465","150,144.3841004184",-26.686218692180958,15.67820276611815,14.664897410747802,-1.0133053553703473,13.602165222167969,11.038262367248535,-18.849225997924805,78.52,92.754,0.5,1,1,1,1,1,1,1,56.89406790032932,54.959063499631746,-1.9350044006975722,27.053504144687263,35.65503432494279,11.45440844009043,8.338100686498857,20.402411476527774,25.09393810919609,4.691526632668314,11.68858564841723,13.770330492029048,2.0817448436118173,12.585168838500977,11.150701522827148,-11.398077964782715,"77,982.7421875","74,485.453125",-4.484696388244629,2.6707625981196115,2.1934266120601436,-0.4773359860594679,31.33497057913725,29.61600139401037,-1.718969185126877,2.8322022631938153,2.65355797165047,-0.17864429154334527,1.5153837048695393,1.568963120747384,0.05357941587784465,0,0,0,0
36079,NY,Putnam,"142,935.60636363635","89,482.13166101695",-37.39689225274682,15.67820276611815,14.664897410747802,-1.0133053553703473,3.1119534969329834,3.090925455093384,-0.675718367099762,78.52,92.754,0.5,1,1,1,1,1,1,1,56.89406790032932,54.959063499631746,-1.9350044006975722,6.626052003517147,16.427730452247385,3.297324456726542,2.96419419627398,20.402411476527774,25.09393810919609,4.691526632668314,11.68858564841723,13.770330492029048,2.0817448436118173,4.271125316619873,4.025781154632568,-5.744251251220703,"85,265.328125","56,827.92578125",-33.351661682128906,2.6707625981196115,2.1934266120601436,-0.4773359860594679,31.33497057913725,29.61600139401037,-1.718969185126877,2.8322022631938153,2.65355797165047,-0.17864429154334527,1.5153837048695393,1.568963120747384,0.05357941587784465,0,0,0,0
36081,NY,Queens,"282,711.47612491605","272,175.5815438597",-3.7267304198153917,15.67820276611815,14.664897410747802,-1.0133053553703473,34.14757537841797,28.598716735839844,-16.24964141845703,78.52,92.754,0.5,1,1,1,1,1,1,1,56.89406790032932,54.959063499631746,-1.9350044006975722,60.83876132600706,58.86669553919446,9.581165168661984,7.675703767864876,20.402411476527774,25.09393810919609,4.691526632668314,11.68858564841723,13.770330492029048,2.0817448436118173,27.293167114257812,26.9943904876709,-1.094693899154663,"92,434.4609375","115,427.609375",24.87508201599121,2.6707625981196115,2.1934266120601436,-0.4773359860594679,31.33497057913725,29.61600139401037,-1.718969185126877,2.8322022631938153,2.65355797165047,-0.17864429154334527,1.5153837048695393,1.568963120747384,0.05357941587784465,0,0,0,0
36083,NY,Rensselaer,"193,134.72444984812","155,667.02833976835",-19.39977195546165,15.67820276611815,14.664897410747802,-1.0133053553703473,16.678783416748047,12.10958194732666,-27.395292282104492,78.52,92.754,0.5,1,1,1,1,1,1,1,56.89406790032932,54.959063499631746,-1.9350044006975722,26.586102719033235,36.077195746356836,6.376946316523356,4.70165419456479,20.402411476527774,25.09393810919609,4.691526632668314,11.68858564841723,13.770330492029048,2.0817448436118173,11.717016220092773,10.9360990524292,-6.6648125648498535,"116,856.734375","108,905.7734375",-6.804024696350098,2.6707625981196115,2.1934266120601436,-0.4773359860594679,31.33497057913725,29.61600139401037,-1.718969185126877,2.8322022631938153,2.65355797165047,-0.17864429154334527,1.5153837048695393,1.568963120747384,0.05357941587784465,0,0,0,0
36085,NY,Richmond,"288,715.6168599348","266,881.1294631209",-7.562627763016552,15.67820276611815,14.664897410747802,-1.0133053553703473,34.57465744018555,28.512229919433594,-17.53430938720703,78.52,92.754,0.5,1,1,1,1,1,1,1,56.89406790032932,54.959063499631746,-1.9350044006975722,44.88201816610407,46.572948806750205,8.22856024656328,7.022542661041496,20.402411476527774,25.09393810919609,4.691526632668314,11.68858564841723,13.770330492029048,2.0817448436118173,15.042407035827637,12.292011260986328,-18.284278869628906,"69,460.671875","70,229.4453125",1.106775164604187,2.6707625981196115,2.1934266120601436,-0.4773359860594679,31.33497057913725,29.61600139401037,-1.718969185126877,2.8322022631938153,2.65355797165047,-0.17864429154334527,1.5153837048695393,1.568963120747384,0.05357941587784465,0,0,0,0
36087,NY,Rockland,"524,241.80720633","436,359.50596451055",-16.76369569038032,15.67820276611815,14.664897410747802,-1.0133053553703473,18.339017868041992,16.875818252563477,-7.978614807128906,78.52,92.754,0.5,1,1,1,1,1,1,1,56.89406790032932,54.959063499631746,-1.9350044006975722,20.765678172095285,31.874596634066428,5.170150704910063,3.3684158268381075,20.402411476527774,25.09393810919609,4.691526632668314,11.68858564841723,13.770330492029048,2.0817448436118173,29.18795394897461,33.14898681640625,13.570779800415039,"242,289.96875","228,262.5",-5.78953742980957,2.6707625981196115,2.1934266120601436,-0.4773359860594679,31.33497057913725,29.61600139401037,-1.718969185126877,2.8322022631938153,2.65355797165047,-0.17864429154334527,1.5153837048695393,1.568963120747384,0.05357941587784465,0,0,0,0
36089,NY,St. Lawrence,"248,161.2362509682","191,619.25806642065",-22.784371579840954,15.67820276611815,14.664897410747802,-1.0133053553703473,20.315298080444336,16.438156127929688,-19.0848388671875,78.52,92.754,0.5,1,1,1,1,1,1,1,56.89406790032932,54.959063499631746,-1.9350044006975722,34.97620240480962,46.19977932108782,10.489729458917836,6.912442396313365,20.402411476527774,25.09393810919609,4.691526632668314,11.68858564841723,13.770330492029048,2.0817448436118173,17.54862403869629,14.315692901611328,-18.422704696655273,"85,658.6484375","92,134.9609375",7.560605525970459,2.6707625981196115,2.1934266120601436,-0.4773359860594679,31.33497057913725,29.61600139401037,-1.718969185126877,2.8322022631938153,2.65355797165047,-0.17864429154334527,1.5153837048695393,1.568963120747384,0.05357941587784465,0,0,0,0
