StateFIPS,State,WIC_PART_2012,WIC_PART_2013,WIC_PART_2014,WIC_PART_2015,WIC_PART_2016,WIC_PART_2017,WIC_PART_2018,NSLP_PART_2012,NSLP_PART_2013,NSLP_PART_2014,NSLP_PART_2015,NSLP_PART_2016,NSLP_PART_2017,NSLP_PART_2018,SBP_PART_2012,SBP_PART_2013,SBP_PART_2014,SBP_PART_2015,SBP_PART_2016,SBP_PART_2017,SBP_PART_2018,CACFP_PART_2012,CACFP_PART_2013,CACFP_PART_2014,CACFP_PART_2015,CACFP_PART_2016,CACFP_PART_2017,CACFP_PART_2018,SFSP_PART_2012,SFSP_PART_2013,SFSP_PART_2014,SFSP_PART_2015,SFSP_PART_2016,SFSP_PART_2017,SFSP_PART_2018,State_Population_2012,State_Population_2013,State_Population_2014,State_Population_2015,State_Population_2016,State_Population_2017,State_Population_2018
24,Maryland,"146,272","144,627.5","140,466.5","142,841","139,575.9167","132,842.5","128,541.8333","434,140.4771","422,745.655","423,559.6308","434,524.8711","446,282.752","445,432.9378","443,270.0467","191,428.6228","211,676.3754","236,000.5993","264,718.087","277,328.7786","271,669.6632","265,042.6705","57,084.5","64,499.5","78,427","95,690.25","102,313.75","95,850.75","84,803.5","57,720","73,830","65,483","70,273","73,858","68,087","68,468","5,887,072","5,923,704","5,958,165","5,986,717","6,004,692","6,024,891","6,042,718"
25,Massachusetts,"122,567.8333","119,952.4167","115,110.25","113,261.8333","114,418.5833","112,763.4167","108,592.9167","534,456.4305","514,436.4138","515,505.8132","528,262.0161","531,646.8896","529,821.8866","527,936.8333","149,885.1732","151,474.17","158,633.8248","175,493.108","192,888.5293","204,474.6494","210,410.8834","63,770.75","66,777","69,977.75","75,134","84,011.25","83,085.75","81,739.25","48,764","46,751","49,027","59,617","59,753","58,161","57,134","6,663,158","6,713,944","6,763,652","6,795,891","6,826,022","6,863,246","6,902,149"
26,Michigan,"255,954.4167","254,125.5833","251,716.4167","244,829.1667","234,546","224,105.5833","213,963.5","907,683.9267","874,097.5668","860,197.2911","842,733.9087","823,888.0499","801,891.0464","793,468.6564","379,452.2354","381,515.522","388,782.0928","399,349.6344","404,077.4302","402,252.0676","399,205.4417","82,241.25","79,845.75","88,592.75","95,673.75","100,775","96,980.25","96,469.75","73,133","76,198","82,035","91,011","84,420","89,963","87,213","9,896,930","9,913,349","9,930,589","9,932,573","9,951,890","9,976,447","9,995,915"
27,Minnesota,"128,435.9167","124,744.5","121,755.0833","119,402.75","116,031.25","111,121.1667","105,961.4167","627,404.5307","608,866.7146","610,476.0877","613,987.2947","616,256.6223","613,845.8588","610,080.9061","179,212.034","181,890.8067","190,673.8583","214,844.6602","225,106.0769","233,297.8545","237,726.717","94,046.25","90,492.25","89,154.5","93,570.25","90,896.25","92,836","98,977.75","45,958","45,966","50,238","52,801","54,869","60,312","61,576","5,376,550","5,413,693","5,451,522","5,482,503","5,523,409","5,568,155","5,611,179"
28,Mississippi,"94,772.75","91,651.5","87,972.5833","89,449.1667","84,866.75","83,857.25","85,448.5","398,653.7217","391,574.134","389,497.0634","384,627.592","381,641.6157","371,355.0282","361,804.267","207,859.0435","207,305.0461","206,865.3961","203,930.7204","205,114.5871","203,723.6006","200,118.7822","41,387.25","41,517.25","41,950.75","43,351.5","43,433.75","50,680.25","51,052.25","28,027","26,916","34,215","36,528","35,412","38,529","45,250","2,983,767","2,988,797","2,990,623","2,988,693","2,988,298","2,989,663","2,986,530"
29,Missouri,"145,899.8333","140,820.75","138,656.75","134,780.3333","127,551","119,620.0833","114,322.75","638,942.9462","610,369.7711","604,483.7588","603,692.6765","598,665.3482","586,909.3851","578,289.5841","257,270.8858","263,351.5522","271,368.5725","280,750.3296","288,215.2703","283,779.336","288,907.3475","68,460.5","67,817","65,766.5","66,864.75","70,137.75","72,503.75","82,986.25","27,147","27,008","39,540","40,411","38,828","44,018","39,653","6,024,081","6,040,658","6,056,293","6,071,745","6,087,203","6,108,612","6,126,452"
30,Montana,"20,457.4167","19,848.4167","19,227.1667","18,475.5833","18,295.5","17,444.5833","16,681.9167","86,704.7825","84,069.2796","83,247.9923","81,871.7488","82,746.6139","82,174.997","80,856.4066","28,133.8847","28,155.3398","28,944.1448","31,311.0392","32,760.7575","34,182.4284","38,370.8498","13,511","13,373.25","13,246","13,787.75","13,344.5","13,733","13,227.25","6,663","7,615","9,232","9,037","9,920","9,323","12,645","1,003,754","1,013,564","1,021,891","1,030,503","1,040,863","1,053,090","1,062,305"
31,Nebraska,"42,726.9167","40,151.25","39,211.0833","37,600.8334","38,124.5","37,440.3333","35,833.1666","251,186.0242","243,119.861","242,273.1631","241,037.037","242,254.345","242,851.732","244,088.6971","66,640.6568","66,556.2747","68,913.2207","70,327.2204","75,386.9112","77,355.7473","80,334.1724","44,632.5","45,304.5","45,392","44,737","43,423.75","42,807.5","40,717.5","9,836","9,879","9,635","12,177","8,851","10,168","10,376","1,853,323","1,865,414","1,879,522","1,891,507","1,905,924","1,917,575","1,929,268"
32,Nevada,"76,108.25","75,011.25","74,262","73,143.5834","70,466.5833","66,624.8333","62,531.25","218,552.3193","215,820.8079","212,395.1816","216,392.0652","222,217.9072","224,528.3471","227,932.758","87,212.6333","92,738.4634","90,757.5213","93,943.7852","121,311.2789","139,251.2286","135,805.3458","13,841.5","14,491.75","13,544","16,423.25","17,042","27,621.25","24,693","6,865","9,716","12,322","11,966","11,840","8,309","8,524","2,744,566","2,776,972","2,819,012","2,868,666","2,919,772","2,972,405","3,034,392"
33,New Hampshire,"16,299.3333","15,679.0833","14,735.9167","14,704.5","14,121.4167","13,063.9167","12,331.5833","104,545.9667","97,395.7809","91,812.058","88,737.1449","85,946.4222","83,276.0398","80,656.2388","24,251.4683","22,496.9435","22,111.7104","20,577.0107","21,661.2729","21,051.8998","21,702.1455","7,979","8,689.25","9,271.5","9,103.75","9,269.25","10,526","10,771.25","4,948","14,659","16,434","15,304","15,203","13,567","12,693","1,323,962","1,326,408","1,333,223","1,336,294","1,342,373","1,349,767","1,356,458"
34,New Jersey,"172,333.0833","167,872.5","163,049.1667","161,664.4167","155,285.3333","147,937.0833","141,567.5833","729,252.4272","694,174.997","688,987.7742","695,702.625","695,986.3359","694,110.5118","689,593.5515","218,062.4476","242,577.8497","273,430.4207","302,630.8282","322,973.7505","326,873.5467","324,406.3287","75,913.25","79,690.25","79,311.75","83,352","90,222","90,993","86,513","52,652","59,505","53,096","48,516","58,308","62,069","71,684","8,845,483","8,858,362","8,866,780","8,870,869","8,874,516","8,888,543","8,908,520"
