StateFIPS,State,WIC_PART_2012,WIC_PART_2013,WIC_PART_2014,WIC_PART_2015,WIC_PART_2016,WIC_PART_2017,WIC_PART_2018,NSLP_PART_2012,NSLP_PART_2013,NSLP_PART_2014,NSLP_PART_2015,NSLP_PART_2016,NSLP_PART_2017,NSLP_PART_2018,SBP_PART_2012,SBP_PART_2013,SBP_PART_2014,SBP_PART_2015,SBP_PART_2016,SBP_PART_2017,SBP_PART_2018,CACFP_PART_2012,CACFP_PART_2013,CACFP_PART_2014,CACFP_PART_2015,CACFP_PART_2016,CACFP_PART_2017,CACFP_PART_2018,SFSP_PART_2012,SFSP_PART_2013,SFSP_PART_2014,SFSP_PART_2015,SFSP_PART_2016,SFSP_PART_2017,SFSP_PART_2018,State_Population_2012,State_Population_2013,State_Population_2014,State_Population_2015,State_Population_2016,State_Population_2017,State_Population_2018
46,South Dakota,"22,153.25","20,430","19,573.1667","19,474.000100000005","19,120","18,366.583400000003","17,667","107,366.6547","106,251.9477","107,748.8913","107,351.7919","108,324.4636","107,494.0669","106,446.2423","27,502.6969","28,026.1297","28,419.6332","28,943.4256","30,048.304","29,734.2682","29,611.8902","14,750.75","14,372.25","14,106.75","17,892","18,120.5","15,379.5","14,898","5,518","6,060","5,891","5,891","5,741","5,950","6,721","833,496","842,270","849,088","853,933","862,890","873,286","882,235"
47,Tennessee,"162,774.9167","159,426","153,741.8333","150,115.75","143,730.1667","136,302.8333","127,814.3333","687,451.9957","656,847.1773","649,935.1552","676,702.8647","671,670.6221","656,161.213","653,667.9852","333,402.7328","350,108.4742","361,069.6392","376,865.7557","395,113.6282","390,008.2704","386,907.4673","68,257.5","70,148","68,795","73,420","78,125.5","86,603.5","87,587.25","32,434","41,923","48,636","46,923","39,483","68,964","66,084","6,451,281","6,493,432","6,540,826","6,590,808","6,645,011","6,708,794","6,770,010"
48,Texas,"969,893.0833","955,072.25","916,461.1667","886,409.1667","859,819.4167","821,873.25","746,246.25","3,374,153.9015","3,314,594.1508","3,322,511.9262","3,379,270.6461","3,377,166.1273","3,348,977.3463","3,342,252.9066","1,786,413.6402","1,818,710.2961","1,864,868.992","1,902,635.9823","1,928,262.1359","1,909,050.821","1,918,382.8359","351,921.5","369,514.5","410,908.25","474,922.75","546,726.5","594,859.5","670,944.5","176,587","180,355","181,174","139,673","126,660","113,922","144,853","26,089,620","26,489,464","26,977,142","27,486,814","27,937,492","28,322,717","28,701,845"
49,Utah,"69,641","66,725.8333","61,259.4167","58,994.9167","56,584.25","53,747.8333","48,988.5833","348,886.0122","331,692.7964","330,222.5818","334,253.0265","334,437.972","335,492.5087","333,361.7404","74,579.5278","74,309.6009","75,284.6698","76,546.2064","84,556.9939","87,312.3577","86,015.3422","31,559.5","32,788","33,196.25","34,851.75","32,897.75","32,950","32,657.5","13,670","13,186","11,015","6,803","7,813","7,514","3,355","2,853,467","2,897,927","2,937,399","2,982,497","3,042,613","3,103,118","3,161,105"
50,Vermont,"15,471.0833","14,836.25","14,226.6667","13,733.3333","12,755.5833","11,557.8333","11,426.5","54,209.2773","51,536.9771","50,499.8202","49,158.9356","48,450.1978","47,100.5634","46,480.5226","23,522.8335","22,926.4054","22,933.8367","22,703.9434","24,305.4057","24,708.9776","25,457.749","7,914.25","9,011","9,808","10,353.75","11,580.5","17,302.75","13,376.5","6,556","6,654","7,577","8,018","8,754","9,328","9,759","626,063","626,212","625,218","625,197","623,644","624,525","626,299"
51,Virginia,"159,137.4167","155,935.3333","144,597.5833","139,631.6667","132,404","122,184.9167","113,951.6667","749,114.7069","717,617.5237","708,104.6386","702,669.9029","702,343.1619","694,907.5872","702,413.1607","271,107.0358","272,469.7351","276,308.1625","284,825.4824","309,949.8981","329,201.726","351,364.7369","70,997","65,337.75","66,057.75","68,505.75","71,045","104,110","112,418.25","54,339","55,519","57,306","57,328","59,073","73,284","77,137","8,185,229","8,253,053","8,312,076","8,362,907","8,410,946","8,465,207","8,517,685"
53,Washington,"194,705.75","191,753.25","183,404.75","176,133.0833","168,877.5","157,453.4167","145,015.0833","540,434.7357","519,599.0651","522,871.2693","518,076.711","521,145.7509","523,214.3114","517,572.456","186,266.2112","183,975.4285","187,886.0122","188,330.0971","193,262.4955","195,547.0454","199,595.9487","75,386.5","65,756.25","71,528.25","79,762","80,268.75","83,467.5","79,603","41,012","40,365","46,219","43,904","42,510","42,470","44,507","6,892,876","6,962,906","7,052,439","7,163,543","7,294,680","7,425,432","7,535,591"
54,West Virginia,"47,890.9167","46,401.75","43,762.5","41,701.0833","40,390.9167","38,314.75","35,412.4167","201,332.9737","194,032.0029","192,151.5042","194,292.8203","193,201.2465","191,543.8092","186,269.2077","114,119.7411","116,980.7024","131,580.1271","150,198.3699","154,201.3664","155,963.5623","149,357.1857","24,122.5","24,984","24,069.25","24,443.75","24,773.5","23,831.25","24,036.75","13,251","11,930","12,290","10,118","9,432","8,519","9,964","1,856,764","1,853,873","1,849,467","1,841,996","1,830,929","1,817,048","1,805,832"
55,Wisconsin,"118,584.9167","113,762.75","108,900.5","105,503.5833","100,151.9167","95,958.1667","92,487.0833","596,221.8626","562,217.0682","550,476.2076","541,766.7506","527,339.3264","510,632.9857","500,434.1364","172,949.0591","173,059.0915","177,052.4991","185,094.3306","192,092.1731","190,113.8679","192,102.1215","60,128.25","59,571.75","61,314.75","61,147.25","61,480.5","59,831","58,050.75","87,538","88,294","97,600","94,796","90,176","54,672","51,806","5,719,855","5,736,952","5,751,974","5,761,406","5,772,958","5,792,051","5,813,568"
56,Wyoming,"12,601.5834","11,980.1666","11,628.9167","10,995.4167","10,782.8334","10,158.5834","9,062","56,577.9695","53,763.754","52,885.4129","51,854.1292","50,876.0638","49,904.5907","48,141.3161","15,702.8647","14,914.4193","14,860.0024","14,683.4472","15,384.6338","15,706.7002","16,403.8116","9,428.25","8,243.5","8,221","8,069.75","7,532.75","7,069","6,902.5","3,079","3,516","3,529","4,334","3,734","4,620","4,671","576,270","582,123","582,548","585,668","584,290","578,934","577,737"
