FIPS,State,County,LACCESS_POP10,LACCESS_POP15,PCH_LACCESS_POP_10_15,PCT_LACCESS_POP10,PCT_LACCESS_POP15,LACCESS_LOWI10,LACCESS_LOWI15,PCH_LACCESS_LOWI_10_15,PCT_LACCESS_LOWI10,PCT_LACCESS_LOWI15,LACCESS_HHNV10,LACCESS_HHNV15,PCH_LACCESS_HHNV_10_15,PCT_LACCESS_HHNV10,PCT_LACCESS_HHNV15,LACCESS_SNAP15,PCT_LACCESS_SNAP15,LACCESS_CHILD10,LACCESS_CHILD15,LACCESS_CHILD_10_15,PCT_LACCESS_CHILD10,PCT_LACCESS_CHILD15,LACCESS_SENIORS10,LACCESS_SENIORS15,PCH_LACCESS_SENIORS_10_15,PCT_LACCESS_SENIORS10,PCT_LACCESS_SENIORS15,LACCESS_WHITE15,PCT_LACCESS_WHITE15,LACCESS_BLACK15,PCT_LACCESS_BLACK15,LACCESS_HISP15,PCT_LACCESS_HISP15,LACCESS_NHASIAN15,PCT_LACCESS_NHASIAN15,LACCESS_NHNA15,PCT_LACCESS_NHNA15,LACCESS_NHPI15,PCT_LACCESS_NHPI15,LACCESS_MULTIR15,PCT_LACCESS_MULTIR15
21039,KY,Carlisle,344.300398297564,115.470762971222,-66.46220464972406,6.745697458808072,2.2623582086838163,107.932485887388,35.0078981807987,-67.56500335096109,2.114664692151019,0.685891422037592,92.9986547248331,92.5356452995549,-0.4978667988780765,4.395021489831432,4.373140137030005,2.44279276162214,0.11544389232618808,91.5643301621774,34.9490211726879,-61.83118348511183,1.7939719859360777,0.6847378756404369,40.0499966449242,8.62414574815557,-78.46655063515826,0.7846786176513363,0.16896837280869062,111.256548681283,2.17979131428846,0.395024733990795,0.007739512813299276,4.67267717706272,0.09154931773242006,0,0,2.86439193785191,0.056120531697725504,0,0,0.954797338694334,0.018706844410155448
21041,KY,Carroll,"4,090.09903349113","4,090.09903349113",0,37.832753986598185,37.832753986598185,"1,842.40208956602","1,907.31335357717",3.523186625696876,17.041921094866524,17.642339779642676,332.778373897913,305.247596743272,-8.273006695767632,8.194493324252967,7.5165623428532875,393.399179472999,9.687248940482615,"1,031.30901099808","1,031.30901099808",0,9.53944141150754,9.53944141150754,605.416266164837,605.416266164837,0,5.600002461981657,5.600002461981657,"3,699.54074199116",34.22015301074054,86.4603411717108,0.7997441603155193,374.319177095313,3.4623917962752104,19.2133817614522,0.1777206711816872,8.01156447757967,0.074105674568307,0,0,276.872996731196,2.5610304017315326
21043,KY,Carter,"1,216.26181317564","1,528.80470166053",25.697007428757917,4.3876688787,5.515168476408839,471.512546119608,705.070038670827,49.533675078917796,1.7009832111096967,2.5435427080477164,498.013755386631,461.249590837089,-7.382158454840323,4.628380626269805,4.286706234545436,109.462526163024,1.0173097227046841,269.32015216013,328.170405237353,21.851410897106696,0.9715734204910895,1.1838759207696719,262.497079616845,320.812639289036,22.21569845931679,0.94695916167693,1.157332753567951,"1,509.30399448123",5.444819604910641,2.11463133990765,0.007628540187257036,8.89200564974453,0.03207794245939582,2.93299639225006,0.010580795065837157,2.02148916618899,0.007292529459556241,0,0,12.4315814359579,0.044846974877193004
21045,KY,Casey,967.869522056572,703.501284197861,-27.31445012308784,6.066245829248336,4.409284137874403,577.886882407951,407.873736301982,-29.419796725192093,3.621979833330937,2.556400728937524,363.258512130719,367.446530485718,1.1529030195146288,5.71970574918468,5.785648409474382,56.8100878719761,0.8945061859860826,213.753650962956,164.091232879447,-23.233482964983647,1.3397283043745283,1.028462757000608,144.81902307908,111.462012068594,-23.033583780130215,0.9076717209594486,0.6986023946637042,675.772296955957,4.235489169263285,0.178605785818945,0.001119434571099624,15.2495460384845,0.0955784772076747,3.33089503082903,0.020876809970724098,1.04671847733334,0.006560441725686869,0,0,23.1727636719216,0.14523825554322534
21047,KY,Christian,"15,170.964974028","18,938.2352253862",24.83210697412851,20.513778614059902,25.607782063939155,"6,347.75527120186","8,521.61198515991",34.24607000557003,8.583267218175727,11.522698918477332,690.33071014905,765.791816335952,10.931153007898079,2.6404938423693776,2.9291302644429007,911.096447548588,3.4849160325450885,"4,284.66745208297","5,316.1546633402",24.07391525229753,5.7936142952916905,7.188364090785209,865.452427152134,"1,228.28811721831",41.92439453432774,1.170241940574855,1.6608587887476303,"13,516.2619727431",18.276332868288957,"3,586.33004651544",4.849340878257643,"1,769.43129883396",2.3925783230801976,245.093540842059,0.33140902013664936,157.341310455432,0.2127527691913082,140.806671621383,0.19039506675868162,"1,292.40164333484",1.7475514073894125
21049,KY,Clark,"3,749.34850225368","3,670.51161118725",-2.102682399863405,10.528033308773988,10.30666220533864,973.229066987418,841.007403115684,-13.58587287996027,2.732791584498408,2.361517993754202,172.101561194915,227.436785738756,32.15265693096801,1.2062911697968388,1.5941458312101773,190.885628676457,1.337952118009792,986.605894309056,957.71795199209,-2.9280123384218117,2.7703532258137646,2.689236941544071,451.201592337338,439.398561109101,-2.6159108098653445,1.2669575501567911,1.2338150706458344,"3,457.69662162822",9.70908550705703,129.795871395799,0.3644620542942156,47.6372624020119,0.1337636885463508,8.5028210422962,0.023875610148811365,7.60851874132641,0.021364442033320444,0.048912450671196,0.00013734437051412686,66.8588372180238,0.18773716681555527
21051,KY,Clay,"2,898.12673796005","1,989.59623257483",-31.348888007041452,13.33698452811804,9.155988184881869,"1,575.3048625875","1,001.50329480649",-36.4247950608442,7.249447135699494,4.608850873476714,693.353747800877,774.908381798768,11.762341266137136,8.967327312479009,10.022094953424315,138.555866634473,1.7919796512477109,346.93448514009,206.59044077534,-40.452607156673956,1.5965691907045099,0.9507153280043259,215.431935370192,161.641150105936,-24.96880751306601,0.9914032920855591,0.7438617124065163,"1,521.51391804423",7.00190482302913,404.521801412193,1.8615821509995074,173.300816226491,0.7975187125011092,2.71042463490448,0.012473192061226324,8.48937692557229,0.039067542225367194,1.24915967416018,0.0057485488916713305,51.1115565645009,0.23521194921537458
21053,KY,Clinton,164.131086461935,10.6970472969115,-93.48261957713152,1.5978493619736664,0.10413792150420073,105.109086052095,4.68143186718225,-95.54612066090841,1.0232582364884637,0.045574687180512566,260.825930461887,156.489892449573,-40.00217226391148,5.984991520465512,3.5908649024684034,0.777558197034523,0.017842088045766934,40.1177395338363,3.91663787700236,-90.23714216575196,0.3905543178917085,0.038129262821284655,23.7723531636748,0.716740015661344,-96.98498499190835,0.23142867176474688,0.006977609186734269,10.6964144296944,0.10413176041369157,0,0,0,0,0,0,0,0,0,0,0.000632869778201,0.000006161115441987928
21055,KY,Crittenden,0,269.660609051621,,0,2.894907236195609,0,145.553612305518,,0,1.5625723274881158,242.132661711042,227.360318488691,-6.100929597007496,6.403931809337266,6.01323243820923,14.9777930256163,0.3961331136105872,0,56.3323835073825,,0,0.6047491519847826,0,65.0464068422043,,0,0.6982974432872174,261.934807223973,2.8119678714328824,3.79869459569454,0.04078040360380612,0.985590633936226,0.010580683134044295,3.09574496746063,0.033233977106394315,0.387512621708083,0.004160092557252635,0,0,0.443854413017107,0.00476494270549766
21057,KY,Cumberland,136.007974658642,110.583775582272,-18.693167911793875,1.9837802604819428,1.6129488853890313,86.576211256368,67.2835433330474,-22.2840288843219,1.2627802108571762,0.9813819039242621,134.669071078204,148.51172489904,10.27901485471551,4.671143637814915,5.151291186231009,11.0509128473495,0.3833129673031391,28.6697330464158,25.184044222442,-12.158079108481859,0.41816996858832844,0.3673285329994458,30.4185152941791,22.9107997514948,-24.681400357896432,0.44367729425582125,0.33417152496345975,104.794520889656,1.5285081810043173,0.999999957668479,0.014585763676611423,2.19067293033004,0.0319526390071476,0,0,0,0,0,0,4.78925488024834,0.06985494282742619
