FIPS,State,County,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13,POPLOSS10
01001,AL,Autauga,77.2461563834271,17.582598816221072,2.4005424126367485,0.8557658829781385,0.39764710194059116,0.04031445273130417,11.995382162687141,26.777958989206724,"56,580",12.7,0,18.8,0,1,0
01003,AL,Baldwin,83.50478698598195,9.308424546676543,4.384824294296766,0.7351932625572656,0.6287548349930048,0.04334348338957013,16.771184813321263,22.987408443749484,"52,387",12.9,0,19.6,0,1,0
01005,AL,Barbour,46.75310485486397,46.691189860509155,5.05153512765415,0.3897002585861529,0.21852350948756236,0.08740940379502495,14.236806643114688,21.906981826128128,"31,433",32,1,45.2,1,0,0
01007,AL,Bibb,75.02072878027492,21.92450360026184,1.7717652192886755,0.09600698232598735,0.27929303949378137,0.030547676194632337,12.68164957451451,22.696923412611827,"40,767",22.2,0,29.3,1,1,0
01009,AL,Blount,88.88733819475942,1.2630403684449252,8.070199923240642,0.20062105299884864,0.49719130525801614,0.03140155612155891,14.722096228324203,24.608352813928335,"50,487",14.7,0,22.2,0,1,0
01011,AL,Bullock,21.916804104819498,69.97434487813817,7.119296316657504,0.1832508704416346,0.1832508704416346,0.03665017408832692,13.459776433938062,22.264980758658602,"28,251",39.6,1,51.2,1,0,0
01013,AL,Butler,54.06024729078149,43.18995560223421,0.9118250823506946,0.830667876068172,0.28166324533346065,0.03341767317515635,16.65632310116007,24.137107939084355,"33,868",25.8,1,36,1,0,1
01015,AL,Calhoun,73.61350065782815,20.39014269810748,3.283237189218365,0.6999966265222818,0.40481732618156063,0.07927672637722229,14.328846607968154,22.877239145835443,"42,091",20,0,30.7,0,1,0
01017,AL,Chambers,58.14116615519509,38.59710653222271,1.5665643723513079,0.4851673242729797,0.16659359929855327,0.020458863071752154,16.676896098202544,22.51351746310098,"35,560",22.4,0,34.4,1,0,1
01019,AL,Cherokee,92.07356958713302,4.640424795105622,1.2312901612220555,0.18854130593712726,0.4694293739659086,0.0038477817538189237,17.896032937011814,21.41675324175613,"39,144",19.4,0,30.2,0,0,0
01021,AL,Chilton,81.10120752468896,9.55708819283734,7.83630822812364,0.2864147744197237,0.30703663817794374,0.02520450014893568,13.566895034713472,25.11284742112137,"42,767",20.2,0,28.1,0,1,0
01023,AL,Choctaw,55.55956418211993,43.22101161699978,0.5267335305577603,0.08658633379031676,0.12987950068547516,0,18.17591456815066,22.663972869615414,"35,089",24.4,1,33.5,1,0,1
01025,AL,Clarke,53.97359965935045,43.66507954941354,1.0490457941392792,0.2864553091007626,0.3716176982928812,0.015484070762203383,16.157627840359233,24.731932024929353,"37,317",22.2,1,30.9,1,0,0
01027,AL,Clay,80.289979902383,14.699971289118578,2.863910422049957,0.1650875681883434,0.3947746195808211,0,17.578237151880565,22.566752799310937,"38,908",18.4,0,27.3,0,0,0
01029,AL,Cleburne,93.21399946566925,3.2994923857868024,2.0504942559444297,0.15362009083622763,0.33395671920919046,0.00667913438418381,15.769436281057974,23.71760619823671,"42,136",18.9,0,27.7,0,0,0
01031,AL,Coffee,72.3432369664451,16.531192440137744,6.366621286137583,1.2593096820693521,1.2052534636021464,0.10210619043805559,14.435012412909426,24.193160887322815,"46,858",16.2,0,23.7,0,0,0
01033,AL,Colbert,79.61710884103769,15.988094363195415,2.0081575659586974,0.4115528771955611,0.4813698831483795,0.02572205482472257,17.386271771882118,22.109943411479385,"41,171",18.1,0,26.9,0,1,0
01035,AL,Conecuh,51.133958270335654,46.28061687329906,1.2171152101602662,0.12851527063804052,0.3326277592984578,0,17.856062896885394,22.996673722407017,"29,981",28.3,1,41,1,0,0
01037,AL,Coosa,65.89825808128954,30.8172285293353,1.9932403154519454,0.12132767137533582,0.3466504896438166,0,17.07253661495797,20.539041511396135,"36,078",20.3,0,32.2,0,0,0
01039,AL,Covington,84.07520190652721,12.405666622534092,1.2789620018535681,0.3918972593671389,0.5189990732159407,0.0026479544551833707,18.37415596451741,22.56851582152787,"36,355",22.3,0,34.1,1,0,0
01041,AL,Crenshaw,72.05522795915432,23.306486408744426,1.466992665036675,1.35912555731339,0.402703868833597,0.007191140514885661,15.892420537897312,23.788292823241765,"36,759",19.9,0,29.6,1,0,0
01043,AL,Cullman,92.73934780986494,1.021068079496555,4.2956993259209515,0.42161032758749345,0.49374424794169586,0.02238638907544213,15.931646892022982,23.183593264184267,"39,290",19.4,0,24.7,0,0,0
01045,AL,Dale,71.0533123718931,18.996636882848104,5.6138186304750155,1.0487353485502777,0.6706334202304431,0.08358042626017392,13.450478597440846,24.829356629718813,"45,294",18.5,0,29,0,0,0
01047,AL,Dallas,28.927430397078957,69.17845732542219,0.7051574623459608,0.3286170698311274,0.17800091282519398,0.013692377909630304,14.06891830214514,26.460520310360565,"29,682",34.6,1,50.1,1,0,1
01049,AL,DeKalb,81.56070258335795,1.4470742100156098,13.626967050584316,0.23344443038152696,1.2164423631326555,0.049220211225020745,13.887131024202281,25.82795426739231,"37,305",20.6,0,28.9,0,0,0
01051,AL,Elmore,74.96437713579563,19.94123803639207,2.6846399253496087,0.6481469805682005,0.339205326406315,0.06304931717589499,11.8986671374349,23.58927152818935,"53,548",14,0,19.9,0,1,0
