,StateFIPS,State,WIC_PART_2012,WIC_PART_2013,WIC_PART_2014,WIC_PART_2015,WIC_PART_2016,WIC_PART_2017,WIC_PART_2018,NSLP_PART_2012,NSLP_PART_2013,NSLP_PART_2014,NSLP_PART_2015,NSLP_PART_2016,NSLP_PART_2017,NSLP_PART_2018,SBP_PART_2012,SBP_PART_2013,SBP_PART_2014,SBP_PART_2015,SBP_PART_2016,SBP_PART_2017,SBP_PART_2018,CACFP_PART_2012,CACFP_PART_2013,CACFP_PART_2014,CACFP_PART_2015,CACFP_PART_2016,CACFP_PART_2017,CACFP_PART_2018,SFSP_PART_2012,SFSP_PART_2013,SFSP_PART_2014,SFSP_PART_2015,SFSP_PART_2016,SFSP_PART_2017,SFSP_PART_2018,State_Population_2012,State_Population_2013,State_Population_2014,State_Population_2015,State_Population_2016,State_Population_2017,State_Population_2018
0,1.0,Alabama,141899.8333,139000.5,131046.25,132132.75,129159.9167,123992.5833,120604.75,562959.0076,539664.2694,531099.2449,531305.2859,525930.9601,511643.0541,499631.3077,224489.7519,224172.9594,236579.8873,254270.2865,266951.9358,271324.104,267372.0484,42903.75,41862.5,45038.75,51263.75,59447.5,61361.5,65638.0,26077.0,30308.0,42484.0,49715.0,48691.0,51622.0,51222.0,4815564.0,4830460.0,4842481.0,4853160.0,4864745.0,4875120.0,4887871.0
1,2.0,Alaska,24969.3333,23054.6667,19604.6667,19682.0,19120.9167,18188.1667,17092.4167,53919.813,52495.0258,51002.8767,53616.9244,52479.8034,53577.9696,53653.482,20758.7199,20740.7407,21044.7081,25111.231,25979.1442,26769.1478,27000.5993,10540.75,10962.75,11429.5,10786.5,10039.0,10082.5,9547.0,4661.0,5078.0,6670.0,5850.0,4688.0,4959.0,4266.0,730399.0,737045.0,736307.0,737547.0,741504.0,739786.0,737438.0
2,4.0,Arizona,193214.0834,182500.75,173020.1667,167072.25,163997.75,153510.0834,149513.3334,662439.5302,646766.7506,644173.319,647425.7461,641045.1876,638136.1621,627715.5699,274596.3083,289520.1966,300355.3878,308742.4188,315991.8495,314725.6383,313831.4755,41670.75,42945.25,40344.0,42551.5,42618.0,42284.75,49678.25,27554.0,23688.0,23209.0,14763.0,13924.0,12301.0,14701.0,6556629.0,6634999.0,6733840.0,6833596.0,6945452.0,7048876.0,7171646.0
3,5.0,Arkansas,94292.75,89776.8333,83288.5833,84219.5833,80554.6667,76518.5,73606.75,348908.9057,332496.9435,327469.1358,320921.3712,317039.3144,314201.4863,311040.8726,162017.9792,166376.4833,172604.6986,180120.9397,183707.1797,184850.893,189762.3157,55787.0,67629.75,76841.25,67984.5,66903.0,63450.25,57042.75,26217.0,41946.0,45837.0,31081.0,35767.0,23544.0,18211.0,2952109.0,2959549.0,2967726.0,2978407.0,2990410.0,3002997.0,3013825.0
4,6.0,California,1472468.25,1431881.4167,1348938.5833,1265005.25,1174874.9167,1080241.0833,1009491.8333,3355494.4265,3294580.3668,3280732.5902,3271743.977,3251959.3671,3215762.4356,3177215.7497,1406620.1606,1517341.2442,1645889.8478,1691158.9357,1722908.9057,1727064.1256,1706654.2011,362931.0,451422.0,511862.75,562667.0,595088.25,617881.75,624624.25,104384.0,114689.0,115912.0,128025.0,123477.0,152251.0,144780.0,37960782.0,38280824.0,38625139.0,38953142.0,39209127.0,39399349.0,39557045.0
5,8.0,Colorado,103768.75,96873.5833,91990.9167,90953.5,86999.3334,84582.4166,85258.25,389955.4117,375033.3213,372674.6974,378228.9344,376744.2167,368667.5057,367376.0039,142955.6514,155733.3094,168991.6098,185013.6641,187317.6315,183179.4319,179740.2613,32550.25,32507.25,31816.5,43319.75,43662.75,43822.5,42451.5,16646.0,17933.0,19076.0,20180.0,19909.0,27258.0,25979.0,5193721.0,5270482.0,5351218.0,5452107.0,5540921.0,5615902.0,5695564.0
6,9.0,Connecticut,56583.5833,54248.1667,52560.75,51295.4167,49155.0833,47829.6667,47297.1667,296699.3887,280253.3861,283110.1522,288268.3687,288155.9391,283197.7706,278107.755,86529.306,87970.8738,93276.759,101002.8767,108076.3514,108240.4411,107818.0511,20326.25,20779.75,20479.75,21873.25,22721.5,22712.25,24297.75,10185.0,12171.0,17274.0,28276.0,28038.0,32655.0,31519.0,3594395.0,3594915.0,3594783.0,3587509.0,3578674.0,3573880.0,3572665.0
7,10.0,Delaware,22213.6667,20796.9167,19872.8333,18997.9167,18097.4167,17161.5,16796.8333,96040.1534,94570.7779,94943.4256,97995.0857,98527.9875,98976.8668,97980.4627,38624.116,39521.9945,41136.8812,47980.1031,51377.6819,52745.7749,52918.974,18366.75,19016.0,18886.0,19986.75,20583.25,22322.5,23906.5,14366.0,8190.0,9935.0,10425.0,11906.0,15422.0,14840.0,915188.0,923638.0,932596.0,941413.0,949216.0,957078.0,967171.0
8,11.0,District of Columbia,16474.25,15674.25,14500.5,14525.9167,14363.0833,13579.8333,12465.9167,47734.6278,50569.4594,50809.4211,52668.3447,53885.5328,52710.7755,56104.279,33281.4335,34873.4268,34873.9063,34498.7415,35798.1541,35028.6468,37501.4983,7827.75,4989.5,5764.75,5581.0,17594.25,30604.25,28545.0,36158.0,34778.0,39449.0,28713.0,28463.0,15494.0,12605.0,634725.0,650431.0,662513.0,675254.0,686575.0,695691.0,702455.0
9,12.0,Florida,495404.8333,483564.6667,466735.5833,483810.8333,481519.5833,468866.5833,450623.6667,1653679.9712,1638775.1408,1651221.3832,1675729.5937,1704152.583,1715885.0533,1752674.3378,711285.0294,750969.4355,773081.026,786513.4844,832401.0548,855037.3966,866111.1111,210496.5,223790.75,248434.0,269541.25,299778.5,302110.25,311957.25,137796.0,145389.0,155570.0,163418.0,251595.0,229220.0,212179.0,19326230.0,19563166.0,19860330.0,20224249.0,20629982.0,20976812.0,21299325.0
10,13.0,Georgia,303874.6667,289524.4167,271416.0,264298.9167,253652.5833,237224.4167,217695.0833,1287032.722,1245367.6136,1236304.4468,1236153.5419,1224626.8728,1211207.4793,1190337.6483,620654.8004,608138.0798,626649.7663,626930.2409,646702.0256,649923.8883,646451.8758,135286.25,138070.0,141104.5,141701.75,141950.0,143991.0,145731.0,84854.0,71557.0,98044.0,101239.0,88156.0,88446.0,93839.0,9901496.0,9973326.0,10069001.0,10181111.0,10304763.0,10413055.0,10519475.0
11,15.0,Hawaii,37169.4167,36370.0833,33922.5,31616.0,30117.25,26855.5,26114.5,113618.3627,113609.1334,113980.7024,109589.9557,106992.9282,103947.2612,102751.4084,38942.7065,38465.54,37596.6679,37812.7772,36453.5539,34765.7917,32405.0102,10069.0,10122.5,10739.0,11390.75,11172.75,10932.25,10626.0,5134.0,5324.0,6010.0,5860.0,5544.0,6350.0,6482.0,1394905.0,1408453.0,1414862.0,1422484.0,1428105.0,1424203.0,1420491.0
12,16.0,Idaho,43751.25,43291.6667,41423.4167,40506.4167,39009.9167,36526.0833,33716.5833,170127.1725,160189.0207,158273.8823,157015.5819,157148.7475,155249.191,151937.1929,77706.2208,75367.9732,76040.2733,77464.7009,80394.5823,78542.0113,75085.2211,8546.0,10694.25,11342.75,11666.75,12050.75,12157.0,11991.75,21114.0,20959.0,26932.0,19775.0,18989.0,21325.0,20392.0,1595441.0,1611530.0,1631479.0,1651523.0,1682930.0,1718904.0,1754208.0
13,17.0,Illinois,288939.1667,280463.25,265922.75,247593.9167,225158.5,211367.0833,199360.25,1142443.2458,1124196.4521,1124755.9631,1108555.4357,1084030.4447,1059265.9715,1044212.9929,395044.7081,416090.7348,419947.1413,423306.3646,431275.3206,424740.0216,439344.4804,127321.0,129334.75,133867.5,141448.5,142879.0,140115.75,139955.75,55586.0,54067.0,69897.0,70835.0,57945.0,96032.0,91102.0,12884119.0,12898269.0,12888962.0,12864342.0,12826895.0,12786196.0,12741080.0
14,18.0,Indiana,164280.5833,159524.5833,155323.0833,154484.5,147905.5833,143974.5,143730.4167,801375.7641,781172.4799,774692.7964,768261.6565,754994.846,743330.8163,734632.8659,256201.8458,259035.9583,260520.676,272047.2252,280446.3622,283075.1528,283659.2353,71208.5,79035.25,71834.5,81678.0,86470.25,93762.5,94214.0,54466.0,58664.0,66164.0,64068.0,55841.0,55778.0,51645.0,6537640.0,6568367.0,6593533.0,6608296.0,6633344.0,6660082.0,6691878.0
15,19.0,Iowa,69158.9167,65875.9167,63766.6667,63481.25,61163.4167,61995.9167,60249.25,395599.7842,384195.0138,383565.3842,381698.5497,381877.2624,377927.3643,373033.561,93107.5153,94780.7743,93851.732,98260.338,103663.1907,103257.9408,102432.6981,38915.75,38978.25,39403.0,44129.75,43173.5,43434.25,42862.0,11109.0,13607.0,16016.0,16703.0,18296.0,18475.0,21739.0,3076097.0,3093078.0,3109504.0,3121460.0,3131785.0,3143637.0,3156145.0
16,20.0,Kansas,74761.0833,70614.75,65698.5,62849.5833,58954.75,54135.3333,50680.6667,361686.0841,348151.744,346298.3339,345398.0583,342539.7339,338077.3103,333287.1869,107458.588,111453.1943,113861.9202,115826.9208,119168.7642,120177.0346,118836.6295,49973.25,47873.5,49258.5,49897.5,49185.75,47664.5,48456.0,20026.0,25237.0,25597.0,28280.0,29882.0,28251.0,29200.0,2885361.0,2893510.0,2900896.0,2909502.0,2911263.0,2910689.0,2911505.0
17,21.0,Kentucky,132698.0833,129923.3333,121681.6667,116178.9167,111926.0833,107884.6667,101743.0,549533.7409,532791.3221,529400.5753,525265.7317,528663.3106,525318.7103,515845.4992,269770.9457,276997.0035,278707.4194,283064.9646,303016.1812,311921.4911,317906.3886,47689.0,52231.5,55599.25,56812.0,63473.25,65950.5,72215.5,33091.0,20189.0,33222.0,33013.0,41667.0,69912.0,80847.0,4386381.0,4404817.0,4414483.0,4425999.0,4438229.0,4453874.0,4468402.0
18,22.0,Louisiana,145346.1667,139856.0,130398.5833,128935.0,127387.4167,119746.5833,112362.25,588505.0941,565262.0161,554244.0369,548567.3019,548135.5627,550544.0489,548065.2044,267441.5678,265627.7119,264460.7455,267794.4384,275216.5887,283968.5964,290695.1936,63843.0,64583.0,91941.0,104558.75,96562.75,93672.25,92375.5,32216.0,40912.0,39824.0,36126.0,32641.0,28429.0,25360.0,4600814.0,4624577.0,4644204.0,4664851.0,4678215.0,4670818.0,4659978.0
19,23.0,Maine,25690.0833,24380.0833,22946.5,21780.833400000003,20805.666599999997,19363.833400000003,18320.0,107179.312,100839.2665,99412.3217,100272.3241,99421.551,97730.4327,96194.7741,44366.2951,44986.3358,47006.5924,48563.9458,50073.4748,50072.7556,50399.6164,11089.0,10647.75,10533.0,11099.5,11034.75,10268.5,10974.75,9169.0,10553.0,11756.0,13327.0,14057.0,15298.0,15036.0,1327691.0,1328196.0,1330760.0,1328484.0,1331370.0,1335063.0,1338404.0
20,24.0,Maryland,146272.0,144627.5,140466.5,142841.0,139575.9167,132842.5,128541.8333,434140.4771,422745.655,423559.6308,434524.8711,446282.752,445432.9378,443270.0467,191428.6228,211676.3754,236000.5993,264718.087,277328.7786,271669.6632,265042.6705,57084.5,64499.5,78427.0,95690.25,102313.75,95850.75,84803.5,57720.0,73830.0,65483.0,70273.0,73858.0,68087.0,68468.0,5887072.0,5923704.0,5958165.0,5986717.0,6004692.0,6024891.0,6042718.0
