,StateFIPS,State,WIC_PART_2012,WIC_PART_2013,WIC_PART_2014,WIC_PART_2015,WIC_PART_2016,WIC_PART_2017,WIC_PART_2018,NSLP_PART_2012,NSLP_PART_2013,NSLP_PART_2014,NSLP_PART_2015,NSLP_PART_2016,NSLP_PART_2017,NSLP_PART_2018,SBP_PART_2012,SBP_PART_2013,SBP_PART_2014,SBP_PART_2015,SBP_PART_2016,SBP_PART_2017,SBP_PART_2018,CACFP_PART_2012,CACFP_PART_2013,CACFP_PART_2014,CACFP_PART_2015,CACFP_PART_2016,CACFP_PART_2017,CACFP_PART_2018,SFSP_PART_2012,SFSP_PART_2013,SFSP_PART_2014,SFSP_PART_2015,SFSP_PART_2016,SFSP_PART_2017,SFSP_PART_2018,State_Population_2012,State_Population_2013,State_Population_2014,State_Population_2015,State_Population_2016,State_Population_2017,State_Population_2018
32,36.0,New York,524148.0833,513298.6667,485824.5,471868.5834,459101.0,435382.0,416172.5833,1796235.0473,1723748.0523,1697756.922,1698510.7276,1679716.2891,1663295.9367,1680432.0987,644136.1621,641178.2333,660111.5906,673331.5354,724859.2832,759449.7183,772481.002,297400.25,295653.0,311604.0,325426.5,349885.0,311429.75,304387.5,369027.0,393066.0,460352.0,438926.0,416339.0,416749.0,422813.0,19574549.0,19628043.0,19656330.0,19661411.0,19641589.0,19590719.0,19542209.0
33,37.0,North Carolina,269334.6666,264754.8333,255671.75,248859.75,241287.9167,230660.25,221719.0,942745.4153,906460.386,889937.3127,903945.9427,892866.8345,866758.8398,851197.1713,405295.2175,419976.1477,432595.2295,455909.1454,465466.7386,464599.4247,456288.9848,116996.0,115084.0,119813.5,124403.75,127954.5,127242.25,130174.0,92476.0,98255.0,109853.0,63390.0,68731.0,87982.0,90483.0,9749123.0,9843599.0,9933944.0,10033079.0,10156679.0,10270800.0,10383620.0
34,38.0,North Dakota,13661.4167,13273.4167,12814.0833,12414.9167,12884.1667,12728.8333,12312.5833,85078.1493,87065.2044,89194.4145,90355.0282,91373.7265,91949.6584,93070.9577,23291.7416,23805.1061,23946.7817,24947.7406,26228.455,26520.1966,28014.2635,16240.0,16817.5,16921.25,17744.25,17810.0,17317.75,16472.25,2184.0,2454.0,2497.0,3997.0,4011.0,3579.0,5257.0,701116.0,721999.0,737382.0,754022.0,754353.0,755176.0,760077.0
35,39.0,Ohio,275627.3333,263683.4167,250370.0,244200.6667,234719.1667,221746.0,208955.4167,1114370.8498,1063938.7511,1051279.1562,1019834.472,1013673.0193,994188.781,984749.8502,418371.3293,422862.1599,428384.0345,433618.4826,450164.5691,449464.8208,450290.1834,124904.75,122550.75,118292.0,115070.0,116330.0,115881.5,116060.5,64450.0,60307.0,51126.0,50990.0,51339.0,64698.0,65578.0,11548369.0,11576576.0,11602973.0,11617850.0,11635003.0,11664129.0,11689442.0
36,40.0,Oklahoma,123069.8332,118552.3334,114489.8334,112892.1666,110724.6667,105845.75,98550.6668,446144.1927,437992.0892,439385.7126,440444.6842,447425.027,442477.5261,440851.1327,227416.7566,227754.4048,226575.4525,225685.4848,232765.4321,231253.6258,229567.7814,54327.25,53632.25,52954.0,53308.5,55330.25,58252.5,63207.25,11390.0,11315.0,16850.0,16793.0,13502.0,13222.0,13418.0,3818600.0,3853205.0,3878367.0,3909831.0,3926769.0,3932640.0,3943079.0
37,41.0,Oregon,111647.8333,107858.75,103226.75,98303.6667,92791.9167,89534.1667,85773.8333,307110.1522,293386.6715,288241.8794,294407.6471,303164.3294,297119.9808,293894.4025,142434.7357,139697.2312,139399.976,141972.0724,146580.7264,144675.6562,147042.9102,46211.25,44569.5,46407.25,48025.25,49085.75,49632.0,48177.75,40815.0,38653.0,41368.0,39454.0,38390.0,37979.0,35802.0,3899118.0,3922908.0,3964106.0,4016918.0,4091404.0,4146592.0,4190713.0
38,42.0,Pennsylvania,253010.75,253258.0833,248761.0,245979.4167,237204.9167,226059.8333,218188.4167,1127529.9053,1066255.184,1040557.1137,1034973.9902,1029007.5513,1021177.6339,1017565.504,343326.3814,345081.6253,346512.6453,354807.1437,385959.487,394394.9419,406449.119,163791.25,135341.5,135570.0,145039.25,146832.25,159262.0,156001.0,103651.0,96893.0,75324.0,78961.0,71015.0,81220.0,81373.0,12766827.0,12776621.0,12789101.0,12785759.0,12783538.0,12790447.0,12807060.0
39,44.0,Rhode Island,24261.1667,23415.8333,22138.75,20728.0833,20375.25,19500.5833,18950.4167,79746.9735,77352.5111,76867.4338,76254.1052,77881.5774,77398.5377,76330.8162,32981.4215,32530.6245,32832.3145,32379.2401,34153.422,34463.5023,33564.1855,9371.5,9191.75,9515.25,9892.75,9706.5,9469.75,9209.25,8221.0,8188.0,9612.0,10705.0,10963.0,10885.0,10824.0,1054601.0,1055122.0,1056017.0,1056173.0,1057063.0,1056486.0,1057315.0
40,45.0,South Carolina,130524.9167,124287.1667,113179.4167,114561.5833,107256.5,99331.6667,92152.5,492877.7418,478053.5778,474023.253,483026.1297,478435.9343,472538.1757,472200.4075,272397.9384,273442.8862,270340.525,266238.4035,268231.8111,267280.2349,268138.799,33468.5,35513.5,36367.25,39243.25,39241.0,40176.25,50683.5,56178.0,56172.0,71257.0,66560.0,61654.0,35127.0,49713.0,4717112.0,4764153.0,4823793.0,4892253.0,4958235.0,5021219.0,5084127.0
41,46.0,South Dakota,22153.25,20430.0,19573.1667,19474.000100000005,19120.0,18366.583400000003,17667.0,107366.6547,106251.9477,107748.8913,107351.7919,108324.4636,107494.0669,106446.2423,27502.6969,28026.1297,28419.6332,28943.4256,30048.304,29734.2682,29611.8902,14750.75,14372.25,14106.75,17892.0,18120.5,15379.5,14898.0,5518.0,6060.0,5891.0,5891.0,5741.0,5950.0,6721.0,833496.0,842270.0,849088.0,853933.0,862890.0,873286.0,882235.0
42,47.0,Tennessee,162774.9167,159426.0,153741.8333,150115.75,143730.1667,136302.8333,127814.3333,687451.9957,656847.1773,649935.1552,676702.8647,671670.6221,656161.213,653667.9852,333402.7328,350108.4742,361069.6392,376865.7557,395113.6282,390008.2704,386907.4673,68257.5,70148.0,68795.0,73420.0,78125.5,86603.5,87587.25,32434.0,41923.0,48636.0,46923.0,39483.0,68964.0,66084.0,6451281.0,6493432.0,6540826.0,6590808.0,6645011.0,6708794.0,6770010.0
43,48.0,Texas,969893.0833,955072.25,916461.1667,886409.1667,859819.4167,821873.25,746246.25,3374153.9015,3314594.1508,3322511.9262,3379270.6461,3377166.1273,3348977.3463,3342252.9066,1786413.6402,1818710.2961,1864868.992,1902635.9823,1928262.1359,1909050.821,1918382.8359,351921.5,369514.5,410908.25,474922.75,546726.5,594859.5,670944.5,176587.0,180355.0,181174.0,139673.0,126660.0,113922.0,144853.0,26089620.0,26489464.0,26977142.0,27486814.0,27937492.0,28322717.0,28701845.0
44,49.0,Utah,69641.0,66725.8333,61259.4167,58994.9167,56584.25,53747.8333,48988.5833,348886.0122,331692.7964,330222.5818,334253.0265,334437.972,335492.5087,333361.7404,74579.5278,74309.6009,75284.6698,76546.2064,84556.9939,87312.3577,86015.3422,31559.5,32788.0,33196.25,34851.75,32897.75,32950.0,32657.5,13670.0,13186.0,11015.0,6803.0,7813.0,7514.0,3355.0,2853467.0,2897927.0,2937399.0,2982497.0,3042613.0,3103118.0,3161105.0
45,50.0,Vermont,15471.0833,14836.25,14226.6667,13733.3333,12755.5833,11557.8333,11426.5,54209.2773,51536.9771,50499.8202,49158.9356,48450.1978,47100.5634,46480.5226,23522.8335,22926.4054,22933.8367,22703.9434,24305.4057,24708.9776,25457.749,7914.25,9011.0,9808.0,10353.75,11580.5,17302.75,13376.5,6556.0,6654.0,7577.0,8018.0,8754.0,9328.0,9759.0,626063.0,626212.0,625218.0,625197.0,623644.0,624525.0,626299.0
46,51.0,Virginia,159137.4167,155935.3333,144597.5833,139631.6667,132404.0,122184.9167,113951.6667,749114.7069,717617.5237,708104.6386,702669.9029,702343.1619,694907.5872,702413.1607,271107.0358,272469.7351,276308.1625,284825.4824,309949.8981,329201.726,351364.7369,70997.0,65337.75,66057.75,68505.75,71045.0,104110.0,112418.25,54339.0,55519.0,57306.0,57328.0,59073.0,73284.0,77137.0,8185229.0,8253053.0,8312076.0,8362907.0,8410946.0,8465207.0,8517685.0
47,53.0,Washington,194705.75,191753.25,183404.75,176133.0833,168877.5,157453.4167,145015.0833,540434.7357,519599.0651,522871.2693,518076.711,521145.7509,523214.3114,517572.456,186266.2112,183975.4285,187886.0122,188330.0971,193262.4955,195547.0454,199595.9487,75386.5,65756.25,71528.25,79762.0,80268.75,83467.5,79603.0,41012.0,40365.0,46219.0,43904.0,42510.0,42470.0,44507.0,6892876.0,6962906.0,7052439.0,7163543.0,7294680.0,7425432.0,7535591.0
48,54.0,West Virginia,47890.9167,46401.75,43762.5,41701.0833,40390.9167,38314.75,35412.4167,201332.9737,194032.0029,192151.5042,194292.8203,193201.2465,191543.8092,186269.2077,114119.7411,116980.7024,131580.1271,150198.3699,154201.3664,155963.5623,149357.1857,24122.5,24984.0,24069.25,24443.75,24773.5,23831.25,24036.75,13251.0,11930.0,12290.0,10118.0,9432.0,8519.0,9964.0,1856764.0,1853873.0,1849467.0,1841996.0,1830929.0,1817048.0,1805832.0
49,55.0,Wisconsin,118584.9167,113762.75,108900.5,105503.5833,100151.9167,95958.1667,92487.0833,596221.8626,562217.0682,550476.2076,541766.7506,527339.3264,510632.9857,500434.1364,172949.0591,173059.0915,177052.4991,185094.3306,192092.1731,190113.8679,192102.1215,60128.25,59571.75,61314.75,61147.25,61480.5,59831.0,58050.75,87538.0,88294.0,97600.0,94796.0,90176.0,54672.0,51806.0,5719855.0,5736952.0,5751974.0,5761406.0,5772958.0,5792051.0,5813568.0
50,56.0,Wyoming,12601.5834,11980.1666,11628.9167,10995.4167,10782.8334,10158.5834,9062.0,56577.9695,53763.754,52885.4129,51854.1292,50876.0638,49904.5907,48141.3161,15702.8647,14914.4193,14860.0024,14683.4472,15384.6338,15706.7002,16403.8116,9428.25,8243.5,8221.0,8069.75,7532.75,7069.0,6902.5,3079.0,3516.0,3529.0,4334.0,3734.0,4620.0,4671.0,576270.0,582123.0,582548.0,585668.0,584290.0,578934.0,577737.0
