,FIPS,State,County,SODATAX_STORES14*,SODATAX_VENDM14*,CHIPSTAX_STORES14*,CHIPSTAX_VENDM14*,FOOD_TAX14*,geo_type
2901,51171.0,VA,Shenandoah,1.5,5.3,1.5,5.3,1.5,county
2902,51173.0,VA,Smyth,1.5,5.3,1.5,5.3,1.5,county
2903,51175.0,VA,Southampton,1.5,5.3,1.5,5.3,1.5,county
2904,51177.0,VA,Spotsylvania,1.5,5.3,1.5,5.3,1.5,county
2905,51179.0,VA,Stafford,1.5,5.3,1.5,5.3,1.5,county
2906,51181.0,VA,Surry,1.5,5.3,1.5,5.3,1.5,county
2907,51183.0,VA,Sussex,1.5,5.3,1.5,5.3,1.5,county
2908,51185.0,VA,Tazewell,1.5,5.3,1.5,5.3,1.5,county
2909,51187.0,VA,Warren,1.5,5.3,1.5,5.3,1.5,county
2910,51191.0,VA,Washington,1.5,5.3,1.5,5.3,1.5,county
2911,51193.0,VA,Westmoreland,1.5,5.3,1.5,5.3,1.5,county
2912,51195.0,VA,Wise,1.5,5.3,1.5,5.3,1.5,county
2913,51197.0,VA,Wythe,1.5,5.3,1.5,5.3,1.5,county
2914,51199.0,VA,York,1.5,5.3,1.5,5.3,1.5,county
2915,51510.0,VA,Alexandria,1.5,5.3,1.5,5.3,1.5,city
2916,51515.0,VA,Bedford,1.5,5.3,1.5,5.3,1.5,city
2917,51520.0,VA,Bristol,1.5,5.3,1.5,5.3,1.5,city
2918,51530.0,VA,Buena Vista,1.5,5.3,1.5,5.3,1.5,city
2919,51540.0,VA,Charlottesville,1.5,5.3,1.5,5.3,1.5,city
2920,51550.0,VA,Chesapeake,1.5,5.3,1.5,5.3,1.5,city
2921,51570.0,VA,Colonial Heights,1.5,5.3,1.5,5.3,1.5,city
2922,51580.0,VA,Covington,1.5,5.3,1.5,5.3,1.5,city
2923,51590.0,VA,Danville,1.5,5.3,1.5,5.3,1.5,city
2924,51595.0,VA,Emporia,1.5,5.3,1.5,5.3,1.5,city
2925,51600.0,VA,Fairfax,1.5,5.3,1.5,5.3,1.5,city
2926,51610.0,VA,Falls Church,1.5,5.3,1.5,5.3,1.5,city
2927,51620.0,VA,Franklin,1.5,5.3,1.5,5.3,1.5,city
2928,51630.0,VA,Fredericksburg,1.5,5.3,1.5,5.3,1.5,city
2929,51640.0,VA,Galax,1.5,5.3,1.5,5.3,1.5,city
2930,51650.0,VA,Hampton,1.5,5.3,1.5,5.3,1.5,city
2931,51660.0,VA,Harrisonburg,1.5,5.3,1.5,5.3,1.5,city
2932,51670.0,VA,Hopewell,1.5,5.3,1.5,5.3,1.5,city
2933,51678.0,VA,Lexington,1.5,5.3,1.5,5.3,1.5,city
2934,51680.0,VA,Lynchburg,1.5,5.3,1.5,5.3,1.5,city
2935,51683.0,VA,Manassas,1.5,5.3,1.5,5.3,1.5,city
2936,51685.0,VA,Manassas Park,1.5,5.3,1.5,5.3,1.5,city
2937,51690.0,VA,Martinsville,1.5,5.3,1.5,5.3,1.5,city
2938,51700.0,VA,Newport News,1.5,5.3,1.5,5.3,1.5,city
2939,51710.0,VA,Norfolk,1.5,5.3,1.5,5.3,1.5,city
2940,51720.0,VA,Norton,1.5,5.3,1.5,5.3,1.5,city
2941,51730.0,VA,Petersburg,1.5,5.3,1.5,5.3,1.5,city
2942,51735.0,VA,Poquoson,1.5,5.3,1.5,5.3,1.5,city
2943,51740.0,VA,Portsmouth,1.5,5.3,1.5,5.3,1.5,city
2944,51750.0,VA,Radford,1.5,5.3,1.5,5.3,1.5,city
2945,51760.0,VA,Richmond,1.5,5.3,1.5,5.3,1.5,city
2946,51770.0,VA,Roanoke,1.5,5.3,1.5,5.3,1.5,city
2947,51775.0,VA,Salem,1.5,5.3,1.5,5.3,1.5,city
2948,51790.0,VA,Staunton,1.5,5.3,1.5,5.3,1.5,city
2949,51800.0,VA,Suffolk,1.5,5.3,1.5,5.3,1.5,city
2950,51810.0,VA,Virginia Beach,1.5,5.3,1.5,5.3,1.5,city
2951,51820.0,VA,Waynesboro,1.5,5.3,1.5,5.3,1.5,city
2952,51830.0,VA,Williamsburg,1.5,5.3,1.5,5.3,1.5,city
2953,51840.0,VA,Winchester,1.5,5.3,1.5,5.3,1.5,city
