,FIPS,State,County,GROC11,GROC16,PCH_GROC_11_16,GROCPTH11,GROCPTH16,PCH_GROCPTH_11_16,SUPERC11,SUPERC16,PCH_SUPERC_11_16,SUPERCPTH11,SUPERCPTH16,PCH_SUPERCPTH_11_16,CONVS11,CONVS16,PCH_CONVS_11_16,CONVSPTH11,CONVSPTH16,PCH_CONVSPTH_11_16,SPECS11,SPECS16,PCH_SPECS_11_16,SPECSPTH11,SPECSPTH16,PCH_SPECSPTH_11_16,SNAPS12,SNAPS17,PCH_SNAPS_12_17,SNAPSPTH12,SNAPSPTH17,PCH_SNAPSPTH_12_17,WICS11,WICS16,PCH_WICS_11_16,WICSPTH11,WICSPTH16,PCH_WICSPTH_11_16,geo_type
2820,51001.0,VA,Accomack,11.0,9.0,-18.181818182,0.331105894,0.274239746,-17.174610385999998,1.0,1.0,0.0,0.0301005,0.0304711,1.231031751,28.0,32.0,14.285714286,0.842815002,0.975074654,15.692607715,4.0,3.0,-25.0,0.120402143,0.091413249,-24.076726187,39.75,47.08333333333333,18.448637316561832,1.192225788068744,1.4467148051415986,21.345706460946012,8.0,5.0,-37.5,0.2408115416765213,0.15220700204372406,-36.79413986206055,county
2821,51003.0,VA,Albemarle,17.0,19.0,11.764705882000001,0.169560837,0.178539547,5.295272903,1.0,3.0,200.0,0.0099742,0.028190499999999997,182.634679897,57.0,52.0,-8.771929825,0.568527514,0.48863454799999995,-14.052611960999998,3.0,6.0,100.0,0.0299225,0.0563809,88.423119932,44.49999999999999,52.75,18.53932584269665,0.43520356769126944,0.4897773486100537,12.539828478037322,9.0,8.0,-11.11111068725586,0.0898185670375824,0.07518231868743896,-16.29534912109375,county
2822,51005.0,VA,Alleghany,3.0,3.0,0.0,0.18566654300000002,0.195160031,5.113192818,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,-20.0,0.618888476,0.52042675,-15.909445746,0.0,0.0,0.0,0.0,0.0,0.0,17.416666666666664,11.5,-33.97129186602869,1.0731156294927091,0.7604814178018781,-29.133320128663264,1.0,2.0,100.0,0.06188501790165901,0.13004747033119202,110.14370727539062,county
2823,51007.0,VA,Amelia,1.0,1.0,0.0,0.078419072,0.077942323,-0.607950117,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,-33.333333333,0.470514429,0.311769291,-33.738633411,1.0,0.0,-100.0,0.078419072,0.0,-100.0,10.25,8.0,-21.951219512195124,0.8033544948663688,0.6144393241167435,-23.51579183994604,1.0,1.0,0.0,0.07841907441616057,0.07816775143146515,-0.32048705220222473,county
2824,51009.0,VA,Amherst,6.0,6.0,0.0,0.186857677,0.18947169,1.3989326430000002,1.0,1.0,0.0,0.031142900000000005,0.0315786,1.3989326430000002,21.0,21.0,0.0,0.654001869,0.663150914,1.3989326430000002,1.0,0.0,-100.0,0.031142900000000005,0.0,-100.0,28.750000000000004,32.33333333333333,12.463768115941999,0.8877840909090909,1.0234010677132788,15.275896267223702,4.0,4.0,0.0,0.124420665204525,0.12543509900569916,0.8153257966041565,county
2825,51011.0,VA,Appomattox,3.0,1.0,-66.666666667,0.198622881,0.064495324,-67.528754165,1.0,1.0,0.0,0.066207627,0.064495324,-2.586262496,9.0,10.0,11.111111111,0.595868644,0.6449532410000001,8.237486116,1.0,0.0,-100.0,0.066207627,0.0,-100.0,10.583333333333334,13.25,25.19685039370078,0.6995857570950115,0.8449716217077993,20.781707337281137,3.0,2.0,-33.33333206176758,0.19857029616832733,0.12893244624137878,-35.06962203979492,county
2826,51013.0,VA,Arlington,42.0,46.0,9.523809523999999,0.194058125,0.19860973199999998,2.345486357,1.0,1.0,0.0,0.00462043,0.0043176,-6.5541211520000004,74.0,64.0,-13.513513514000001,0.341911935,0.276326583,-19.181942618,13.0,12.0,-7.692307692000001,0.0600656,0.051811199999999995,-13.742265679,78.33333333333334,88.66666666666669,13.19148936170214,0.3543773138199613,0.3773611672660468,6.485701129774428,7.0,11.0,57.14285659790039,0.0324116088449955,0.04749937355518341,46.55049514770508,county
2827,51015.0,VA,Augusta,10.0,11.0,10.0,0.135793919,0.147109958,8.333244176000001,0.0,0.0,0.0,0.0,0.0,0.0,35.0,36.0,2.857142857,0.475278717,0.481450772,1.298617931,3.0,4.0,33.333333333,0.040738199999999995,0.05349450000000001,31.313023243000004,41.24999999999999,38.33333333333333,-7.0707070707070665,0.5600206359119171,0.5101316583271229,-8.908417723492773,4.0,4.0,0.0,0.054319780319929116,0.05348094180226326,-1.544259786605835,county
2828,51017.0,VA,Bath,1.0,1.0,0.0,0.21482277100000002,0.226603218,5.48379787,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,-33.333333333,1.288936627,0.9064128709999999,-29.677468086999998,1.0,0.0,-100.0,0.21482277100000002,0.0,-100.0,2.0,3.0,50.0,0.4299226139294927,0.6981615080288573,62.39236676751223,,,,,,,county
2829,51019.0,VA,Bedford,11.0,7.0,-36.363636364,0.145579672,0.08994192300000001,-38.21807529,1.0,0.0,-100.0,0.0132345,0.0,-100.0,30.0,23.0,-23.333333333000002,0.397035469,0.295523462,-25.567490705999997,3.0,2.0,-33.333333333,0.0397035,0.025697700000000004,-35.276078875,34.916666666666664,48.0,37.47016706443915,0.5017483354888154,0.6155898119886115,22.68895947385436,7.0,6.0,-14.285714149475098,0.09264528751373292,0.07701095193624496,-16.875478744506836,county
