,FIPS,State,County,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12*,PCT_OBESE_ADULTS17*,PCT_HSPA17*,RECFAC11,RECFAC16,PCH_RECFAC_11_16,RECFACPTH11,RECFACPTH16,PCH_RECFACPTH_11_16,geo_type
2866,51095.0,VA,James City,9.5,10.5,27.4,30.1,,10.0,14.0,40.0,0.146378594,0.189012947,29.126085136999997,county
2867,51097.0,VA,King and Queen,12.1,12.2,27.4,30.1,,0.0,0.0,0.0,0.0,0.0,0.0,county
2868,51099.0,VA,King George,8.9,9.3,27.4,30.1,,3.0,3.0,0.0,0.12356866300000001,0.115749672,-6.327648738,county
2869,51101.0,VA,King William,9.9,10.3,27.4,30.1,,2.0,0.0,-100.0,0.124882922,0.0,-100.0,county
2870,51103.0,VA,Lancaster,13.4,13.8,27.4,30.1,,0.0,1.0,,0.0,0.092781592,,county
2871,51105.0,VA,Lee,12.6,12.1,27.4,30.1,,0.0,0.0,0.0,0.0,0.0,0.0,county
2872,51107.0,VA,Loudoun,6.6,6.9,27.4,30.1,,43.0,51.0,18.604651163,0.131540306,0.132028922,0.371457021,county
2873,51109.0,VA,Louisa,10.2,10.9,27.4,30.1,,4.0,1.0,-75.0,0.119542154,0.028347900000000006,-76.286285293,county
2874,51111.0,VA,Lunenburg,12.1,13.2,27.4,30.1,,1.0,0.0,-100.0,0.077453334,0.0,-100.0,county
2875,51113.0,VA,Madison,9.9,11.4,27.4,30.1,,1.0,2.0,100.0,0.07609191900000001,0.15257857800000002,100.518767165,county
2876,51115.0,VA,Mathews,11.7,11.9,27.4,30.1,,1.0,2.0,100.0,0.1118193,0.227117874,103.111514876,county
2877,51117.0,VA,Mecklenburg,12.7,13.7,27.4,30.1,,2.0,2.0,0.0,0.061411900000000005,0.064964594,5.785097122000001,county
2878,51119.0,VA,Middlesex,11.9,12.4,27.4,30.1,,1.0,1.0,0.0,0.092157405,0.092867756,0.770802377,county
2879,51121.0,VA,Montgomery,6.6,6.8,27.4,30.1,,9.0,13.0,44.444444444,0.09489566699999999,0.132060138,39.163506253,county
2880,51125.0,VA,Nelson,10.7,12.9,27.4,30.1,,0.0,1.0,,0.0,0.06713662299999999,,county
2881,51127.0,VA,New Kent,9.5,9.9,27.4,30.1,,2.0,1.0,-50.0,0.106575722,0.0475511,-55.382786495,county
2882,51131.0,VA,Northampton,13.3,14.6,27.4,30.1,,1.0,1.0,0.0,0.080606158,0.083291687,3.3316675000000004,county
2883,51133.0,VA,Northumberland,13.2,14.8,27.4,30.1,,0.0,0.0,0.0,0.0,0.0,0.0,county
2884,51135.0,VA,Nottoway,11.8,14.0,27.4,30.1,,0.0,0.0,0.0,0.0,0.0,0.0,county
2885,51137.0,VA,Orange,9.9,10.1,27.4,30.1,,4.0,3.0,-25.0,0.11765398,0.084552296,-28.134776359,county
2886,51139.0,VA,Page,9.5,10.9,27.4,30.1,,2.0,0.0,-100.0,0.083496848,0.0,-100.0,county
2887,51141.0,VA,Patrick,11.4,12.5,27.4,30.1,,1.0,1.0,0.0,0.05455840000000001,0.0562778,3.1515560810000003,county
2888,51143.0,VA,Pittsylvania,11.5,14.3,27.4,30.1,,0.0,0.0,0.0,0.0,0.0,0.0,county
2889,51145.0,VA,Powhatan,8.9,10.7,27.4,30.1,,1.0,3.0,200.0,0.0355556,0.105641242,197.11599408400002,county
2890,51147.0,VA,Prince Edward,11.0,11.4,27.4,30.1,,1.0,1.0,0.0,0.0430533,0.0434348,0.8860704509999999,county
2891,51149.0,VA,Prince George,9.4,12.3,27.4,30.1,,1.0,2.0,100.0,0.0272435,0.052900300000000004,94.175681752,county
2892,51153.0,VA,Prince William,9.2,7.9,27.4,30.1,,43.0,54.0,25.581395349,0.10248074900000001,0.118275802,15.412702067,county
2893,51155.0,VA,Pulaski,11.4,13.7,27.4,30.1,,4.0,4.0,0.0,0.115154307,0.11682243,1.448598131,county
2894,51157.0,VA,Rappahannock,10.7,11.7,27.4,30.1,,0.0,0.0,0.0,0.0,0.0,0.0,county
2895,51159.0,VA,Richmond,10.9,11.6,27.4,30.1,,1.0,2.0,100.0,0.108613012,0.22768670300000002,109.631147541,county
2896,51161.0,VA,Roanoke,10.2,11.5,27.4,30.1,,11.0,16.0,45.454545455,0.11847448,0.17137409899999997,44.650645136,county
