,FIPS,State,County,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13,POPLOSS10,geo_type
2820,51001.0,VA,Accomack,61.10843082860934,27.90073573754674,8.593655771318296,0.5337112531660837,0.2924858280062719,0.10252080569292003,19.1050536726571,20.881075865396213,38690.0,20.4,0.0,31.0,1.0,0.0,0.0,county
2821,51003.0,VA,Albemarle,77.932706880873,9.58573305041932,5.473375770435486,4.644841871274124,0.1515610791148833,0.042437102152167325,14.270991209457412,21.50651712640194,71293.0,9.5,0.0,9.6,0.0,1.0,0.0,county
2822,51005.0,VA,Alleghany,92.55384615384615,4.621538461538462,1.083076923076923,0.2276923076923077,0.15384615384615385,0.06769230769230769,20.338461538461534,21.23076923076923,45210.0,18.2,0.0,24.0,0.0,0.0,1.0,county
2823,51007.0,VA,Amelia,72.75807722616233,23.04964539007092,2.2852639873916467,0.2127659574468085,0.3073286052009456,0.0,15.752561071710007,22.237982663514575,53078.0,11.1,0.0,17.0,0.0,1.0,0.0,county
2824,51009.0,VA,Amherst,75.69931691033291,18.866874787500386,1.9318146694278735,0.4729082310759435,0.9149074274410408,0.021636324297592185,16.47451550088091,21.450870089327108,48646.0,15.0,0.0,20.6,0.0,1.0,0.0,county
2825,51011.0,VA,Appomattox,76.69137781339744,20.022707540239093,1.1153409470380018,0.2337540906965872,0.18700327255726976,0.026714753222467108,17.411340412742938,22.206638616175784,49461.0,14.2,0.0,20.9,0.0,1.0,0.0,county
2826,51013.0,VA,Arlington,64.03839577704251,8.230143478449335,15.114604555284236,9.518029928670165,0.18976337374233604,0.06405717946124541,8.695400887167853,15.713755918064606,104354.0,7.1,0.0,8.8,0.0,1.0,0.0,county
2827,51015.0,VA,Augusta,92.21830508474577,3.906440677966102,2.067796610169492,0.4949152542372881,0.1911864406779661,0.017627118644067796,16.052881355932204,21.36271186440678,56867.0,9.3,0.0,12.9,0.0,1.0,0.0,county
2828,51017.0,VA,Bath,92.22151764954556,4.502219403931516,2.134855210314944,0.14796026210103572,0.1056859015007398,0.0,22.236313675755653,16.994292961318962,44401.0,10.3,0.0,14.6,0.0,0.0,0.0,county
2829,51019.0,VA,Bedford,90.32995515172695,5.691944784204089,1.5871629098957425,1.0192789329605685,0.2504513949560254,0.020385578659211367,16.231288951016367,22.285805812802142,54153.0,9.1,0.0,12.8,0.0,1.0,0.0,county
2830,51021.0,VA,Bland,95.1641266119578,3.3411488862837047,0.5715123094958968,0.2637749120750293,0.014654161781946071,0.014654161781946071,17.365181711606095,17.878077373974207,44727.0,13.6,0.0,17.8,0.0,0.0,0.0,county
2831,51023.0,VA,Botetourt,94.15952696995295,2.9775552069506457,1.0739712803185713,0.5249185471219984,0.22927476770845898,0.006033546518643659,16.365994931820925,22.42669240979848,62591.0,7.4,0.0,9.3,0.0,1.0,0.0,county
2832,51025.0,VA,Brunswick,39.82448089939199,57.037971779281854,1.7093036595158886,0.26958816106458644,0.20075714121830907,0.022943673282092462,16.53091659974762,19.312836985201333,39748.0,22.1,0.0,29.2,1.0,0.0,0.0,county
2833,51027.0,VA,Buchanan,96.29429828201509,2.5479292887376546,0.3942235870196696,0.21993526433728935,0.07469499543530582,0.008299443937256203,16.051124574653496,18.727695244418626,32433.0,28.8,0.0,33.6,1.0,0.0,1.0,county
2834,51029.0,VA,Buckingham,61.20377930712703,34.87110696372332,1.6796920564563165,0.3674326373498192,0.25661961973638164,0.005832264084917766,14.30071153621836,19.22897468797387,43774.0,20.2,0.0,27.5,1.0,1.0,0.0,county
2835,51031.0,VA,Campbell,81.3154151927355,14.107800590788086,1.6738995660260385,0.9901170635644216,0.25892564093213233,0.020057620072207436,15.83640275701105,21.961270559060573,46938.0,11.7,0.0,16.3,0.0,1.0,0.0,county
2836,51033.0,VA,Caroline,63.56629882641444,29.066386407426872,3.3596076370642844,0.5955508845682256,0.6621124540199684,0.0630583289542827,13.116132422490804,23.97617796461727,54696.0,12.0,0.0,17.2,0.0,1.0,0.0,county
2837,51035.0,VA,Carroll,95.93236136076159,0.5891751547833034,2.58305039611211,0.16976233273417216,0.16310498635243992,0.016643365954330604,19.429465415085552,20.69768990080554,42790.0,15.0,0.0,24.3,0.0,0.0,0.0,county
2838,51036.0,VA,Charles City,40.50441014332966,48.387541345093716,1.2127894156560088,0.33076074972436603,6.82194046306505,0.06890848952590957,16.730981256890846,17.929988974641677,51645.0,11.6,0.0,19.5,0.0,1.0,0.0,county
2839,51037.0,VA,Charlotte,66.6057524233275,29.707611631972032,1.9068806610519624,0.20657873828062925,0.24630541871921185,0.0,18.67948514222152,23.0494199904656,37819.0,19.2,0.0,28.4,1.0,0.0,0.0,county
2840,51041.0,VA,Chesterfield,65.39166951264247,21.564907221189237,7.230043385319824,3.2314474000430065,0.26847038287860964,0.04490317357922564,10.396665781251976,26.09285470344933,75107.0,6.9,0.0,9.5,0.0,1.0,0.0,county
2841,51043.0,VA,Clarke,88.26421547669945,5.287159754881003,3.4915205928459447,0.8621918198660397,0.24939432806042466,0.03562776115148924,16.29613795069118,22.951403733789373,71789.0,8.4,0.0,10.4,0.0,1.0,0.0,county
2842,51045.0,VA,Craig,98.32369942196532,0.09633911368015416,0.6936416184971098,0.15414258188824664,0.11560693641618497,0.0,17.071290944123312,21.40655105973025,47832.0,11.9,0.0,21.7,0.0,1.0,0.0,county
