,FIPS,State,County,FFR11,FFR16,PCH_FFR_11_16,FFRPTH11,FFRPTH16,PCH_FFRPTH_11_16,FSR11,FSR16,PCH_FSR_11_16,FSRPTH11,FSRPTH16,PCH_FSRPTH_11_16,PC_FFRSALES07*,PC_FFRSALES12*,PC_FSRSALES07*,PC_FSRSALES12*,geo_type
2820,51001.0,VA,Accomack,19.0,18.0,-5.263157895,0.57191018,0.548479493,-4.096917288999999,36.0,37.0,2.777777778,1.083619288,1.127430069,4.043004855,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2821,51003.0,VA,Albemarle,55.0,58.0,5.454545455,0.54857918,0.545015458,-0.649627672,66.0,75.0,13.636363635999999,0.6582950160000001,0.704761368,7.05859087,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2822,51005.0,VA,Alleghany,8.0,10.0,25.0,0.495110781,0.650533437,31.391491023,5.0,5.0,0.0,0.309444238,0.325266719,5.113192818,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2823,51007.0,VA,Amelia,5.0,6.0,20.0,0.39209535799999995,0.467653936,19.27045986,5.0,5.0,0.0,0.39209535799999995,0.38971161299999996,-0.607950117,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2824,51009.0,VA,Amherst,18.0,19.0,5.555555556,0.56057303,0.599993684,7.032206679,15.0,18.0,20.0,0.467144192,0.5684150689999999,21.678719170999997,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2825,51011.0,VA,Appomattox,6.0,9.0,50.0,0.397245763,0.580457917,46.120606256,7.0,3.0,-57.142857143,0.46345339,0.193485972,-58.251255355,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2826,51013.0,VA,Arlington,228.0,227.0,-0.43859649100000003,1.0534583929999999,0.980095851,-6.963971497999999,229.0,268.0,17.030567685999998,1.058078825,1.1571175679999999,9.360242495,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2827,51015.0,VA,Augusta,30.0,28.0,-6.666666667,0.407381757,0.37446171100000003,-8.08088373,25.0,32.0,28.0,0.339484798,0.427956241,26.060502314,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2828,51017.0,VA,Bath,1.0,1.0,0.0,0.21482277100000002,0.226603218,5.48379787,5.0,4.0,-20.0,1.0741138559999999,0.9064128709999999,-15.612961704000002,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2829,51019.0,VA,Bedford,19.0,15.0,-21.052631579,0.251455797,0.192732693,-23.353251299,41.0,42.0,2.43902439,0.54261514,0.539651539,-0.546169978,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2830,51021.0,VA,Bland,2.0,2.0,0.0,0.295159386,0.30888030899999996,4.648648649,0.0,2.0,,0.0,0.30888030899999996,,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2831,51023.0,VA,Botetourt,17.0,20.0,17.647058824000002,0.5151827379999999,0.60331825,17.107621329,16.0,20.0,25.0,0.484877871,0.60331825,24.426847661999997,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2832,51025.0,VA,Brunswick,5.0,3.0,-40.0,0.291868542,0.184331797,-36.844239631,6.0,5.0,-16.666666667,0.350242251,0.307219662,-12.283666155,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2833,51027.0,VA,Buchanan,9.0,9.0,0.0,0.37786548,0.40720296799999994,7.764003258,2.0,7.0,250.0,0.08397010699999999,0.31671342,277.174011402,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2834,51029.0,VA,Buckingham,1.0,2.0,100.0,0.058099,0.117233294,101.78194607299999,3.0,3.0,0.0,0.17429700199999998,0.175849941,0.8909730359999999,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2835,51031.0,VA,Campbell,26.0,37.0,42.307692308,0.474530489,0.670532802,41.304472077,25.0,28.0,12.0,0.456279316,0.5074302279999999,11.210438565,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2836,51033.0,VA,Caroline,9.0,10.0,11.111111111,0.31384036,0.332546307,5.96033831,13.0,13.0,0.0,0.453324964,0.432310199,-4.635695521000001,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2837,51035.0,VA,Carroll,10.0,12.0,20.0,0.33231423600000004,0.404054009,21.587932254000002,14.0,17.0,21.428571429,0.465239931,0.572409845,23.035407638000002,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2838,51036.0,VA,Charles City,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-50.0,0.277623542,0.142389292,-48.711376904,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2839,51037.0,VA,Charlotte,1.0,3.0,200.0,0.080064051,0.24732069199999998,208.90354493,6.0,5.0,-16.666666667,0.480384307,0.41220115399999996,-14.193459742,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2840,51041.0,VA,Chesterfield,206.0,232.0,12.621359222999999,0.642902173,0.68473946,6.507566562999999,202.0,226.0,11.881188119,0.630418635,0.66703068,5.807576581,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2841,51043.0,VA,Clarke,8.0,6.0,-25.0,0.563896525,0.41893590299999994,-25.706954336,7.0,6.0,-14.285714286,0.493409459,0.41893590299999994,-15.093662098,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
