,FIPS,State,County,REDEMP_SNAPS12,REDEMP_SNAPS17,PCH_REDEMP_SNAPS_12_17,PCT_SNAP12*,PCT_SNAP17*,PCH_SNAP_12_17*,PC_SNAPBEN12,PC_SNAPBEN17,PCH_PC_SNAPBEN_12_17,SNAP_PART_RATE11*,SNAP_PART_RATE16*,SNAP_OAPP09*,SNAP_OAPP16*,SNAP_CAP09*,SNAP_CAP16*,SNAP_BBCE09*,SNAP_BBCE16*,SNAP_REPORTSIMPLE09*,SNAP_REPORTSIMPLE16*,PCT_NSLP12*,PCT_NSLP17*,PCH_NSLP_12_17*,PCT_FREE_LUNCH10,PCT_FREE_LUNCH15,PCT_REDUCED_LUNCH10,PCT_REDUCED_LUNCH15,PCT_SBP12*,PCT_SBP17*,PCH_SBP_12_17*,PCT_SFSP12*,PCT_SFSP17*,PCH_SFSP_12_17*,PC_WIC_REDEMP11,PC_WIC_REDEMP16,PCH_PC_WIC_REDEMP_11_16,REDEMP_WICS11,REDEMP_WICS16,PCH_REDEMP_WICS_11_16,PCT_WIC12*,PCT_WIC17*,PCH_WIC_12_17*,PCT_WICINFANTCHILD14*,PCT_WICINFANTCHILD16*,PCH_WICINFANTCHILD_14_16*,PCT_WICWOMEN14*,PCT_WICWOMEN16*,PCH_WICWOMEN_14_16*,PCT_CACFP12*,PCT_CACFP17*,PCH_CACFP_12_17*,FDPIR12,FDPIR15,PCH_FDPIR_12_15,FOOD_BANKS18,geo_type
2820,51001.0,VA,Accomack,226145.1398742138,142246.16665486724,-37.09961366669775,11.16028890088923,9.156390224580344,-2.0038986763088857,25.90387916564941,18.47442054748535,-28.680871963500977,75.465,75.486,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,55.86189436783564,51.23776138495022,-4.624132982885413,58.21540880503143,61.76691729323308,6.721698113207547,6.146616541353383,20.21660028396465,24.27111295592885,4.054512671964196,4.052089019337634,5.4030222243193515,1.3509332049817164,22.48174285888672,16.252540588378903,-27.707826614379883,93358.25,106779.1953125,14.375746726989746,1.9433887160481524,1.4425575937246902,-0.5008311223234623,20.96534459829461,19.13991380813982,-1.8254307901547904,2.0869810652812464,1.9200896271318184,-0.16689143814942795,0.8670165165077149,1.229158844961405,0.36214232845369004,0.0,0.0,0.0,0.0,county
2821,51003.0,VA,Albemarle,249057.87011235955,167181.56473933646,-32.874410006030146,11.16028890088923,9.156390224580344,-2.0038986763088857,,,,75.465,75.486,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,55.86189436783564,51.23776138495022,-4.624132982885413,21.188260558339298,22.68862504787438,3.9370078740157477,5.208732286480275,20.21660028396465,24.27111295592885,4.054512671964196,4.052089019337634,5.4030222243193515,1.3509332049817164,6.97919225692749,4.1560797691345215,-40.45042037963867,77703.21875,55280.015625,-28.85749626159668,1.9433887160481524,1.4425575937246902,-0.5008311223234623,20.96534459829461,19.13991380813982,-1.8254307901547904,2.0869810652812464,1.9200896271318184,-0.16689143814942795,0.8670165165077149,1.229158844961405,0.36214232845369004,0.0,0.0,0.0,0.0,county
2822,51005.0,VA,Alleghany,103137.95885167463,106181.58869565217,2.9510278057321893,11.16028890088923,9.156390224580344,-2.0038986763088857,,,,75.465,75.486,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,55.86189436783564,51.23776138495022,-4.624132982885413,38.44136380666917,39.365504915102775,7.9805170475833656,7.998212689901697,20.21660028396465,24.27111295592885,4.054512671964196,4.052089019337634,5.4030222243193515,1.3509332049817164,,,,90508.0,44337.80078125,-51.01228713989258,1.9433887160481524,1.4425575937246902,-0.5008311223234623,20.96534459829461,19.13991380813982,-1.8254307901547904,2.0869810652812464,1.9200896271318184,-0.16689143814942795,0.8670165165077149,1.229158844961405,0.36214232845369004,0.0,0.0,0.0,0.0,county
2823,51007.0,VA,Amelia,171898.82926829267,138853.14625,-19.223913949242974,11.16028890088923,9.156390224580344,-2.0038986763088857,20.77613067626953,13.082437515258787,-37.03140640258789,75.465,75.486,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,55.86189436783564,51.23776138495022,-4.624132982885413,40.04499437570304,38.31417624521073,8.942632170978627,6.896551724137932,20.21660028396465,24.27111295592885,4.054512671964196,4.052089019337634,5.4030222243193515,1.3509332049817164,,,,138136.0,83540.1015625,-39.52329635620117,1.9433887160481524,1.4425575937246902,-0.5008311223234623,20.96534459829461,19.13991380813982,-1.8254307901547904,2.0869810652812464,1.9200896271318184,-0.16689143814942795,0.8670165165077149,1.229158844961405,0.36214232845369004,0.0,0.0,0.0,0.0,county
2824,51009.0,VA,Amherst,236058.18434782606,146892.15896907213,-37.772901467110295,11.16028890088923,9.156390224580344,-2.0038986763088857,14.618531227111815,12.109366416931152,-17.164274215698242,75.465,75.486,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,55.86189436783564,51.23776138495022,-4.624132982885413,37.83431180691454,41.87648456057007,7.7408132202652755,7.719714964370547,20.21660028396465,24.27111295592885,4.054512671964196,4.052089019337634,5.4030222243193515,1.3509332049817164,13.960931777954102,10.961492538452148,-21.484519958496094,112207.5,87387.765625,-22.119497299194336,1.9433887160481524,1.4425575937246902,-0.5008311223234623,20.96534459829461,19.13991380813982,-1.8254307901547904,2.0869810652812464,1.9200896271318184,-0.16689143814942795,0.8670165165077149,1.229158844961405,0.36214232845369004,0.0,0.0,0.0,0.0,county
2825,51011.0,VA,Appomattox,375425.14393700793,253185.1705660377,-32.560411934337765,11.16028890088923,9.156390224580344,-2.0038986763088857,20.66793441772461,17.82943344116211,-13.733839988708494,75.465,75.486,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,55.86189436783564,51.23776138495022,-4.624132982885413,39.0,40.84568439407149,7.000000000000001,6.277244986922407,20.21660028396465,24.27111295592885,4.054512671964196,4.052089019337634,5.4030222243193515,1.3509332049817164,,,,79342.3359375,110373.953125,39.111045837402344,1.9433887160481524,1.4425575937246902,-0.5008311223234623,20.96534459829461,19.13991380813982,-1.8254307901547904,2.0869810652812464,1.9200896271318184,-0.16689143814942795,0.8670165165077149,1.229158844961405,0.36214232845369004,0.0,0.0,0.0,0.0,county
2826,51013.0,VA,Arlington,131237.47046808514,80461.21635338345,-38.69036330371032,11.16028890088923,9.156390224580344,-2.0038986763088857,4.209718704223634,3.341987133026123,-20.612579345703125,75.465,75.486,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,55.86189436783564,51.23776138495022,-4.624132982885413,25.287409820805212,24.12080113546759,5.79008610658599,5.937549282447564,20.21660028396465,24.27111295592885,4.054512671964196,4.052089019337634,5.4030222243193515,1.3509332049817164,6.641606330871582,5.352678298950195,-19.406871795654297,204914.421875,112689.453125,-45.00657653808594,1.9433887160481524,1.4425575937246902,-0.5008311223234623,20.96534459829461,19.13991380813982,-1.8254307901547904,2.0869810652812464,1.9200896271318184,-0.16689143814942795,0.8670165165077149,1.229158844961405,0.36214232845369004,0.0,0.0,0.0,0.0,county
2827,51015.0,VA,Augusta,101790.25866666666,72637.73791304347,-28.639794353101287,11.16028890088923,9.156390224580344,-2.0038986763088857,,,,75.465,75.486,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,55.86189436783564,51.23776138495022,-4.624132982885413,28.004992319508446,31.15928189457601,7.661290322580645,7.5057295645530955,20.21660028396465,24.27111295592885,4.054512671964196,4.052089019337634,5.4030222243193515,1.3509332049817164,2.1426844596862797,2.2785463333129883,6.340731620788574,39445.75,42604.828125,8.008665084838867,1.9433887160481524,1.4425575937246902,-0.5008311223234623,20.96534459829461,19.13991380813982,-1.8254307901547904,2.0869810652812464,1.9200896271318184,-0.16689143814942795,0.8670165165077149,1.229158844961405,0.36214232845369004,0.0,0.0,0.0,1.0,county
2828,51017.0,VA,Bath,,,,11.16028890088923,9.156390224580344,-2.0038986763088857,9.931753158569336,5.992552757263184,-39.662689208984375,75.465,75.486,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,55.86189436783564,51.23776138495022,-4.624132982885413,29.63525835866261,32.92682926829269,11.854103343465045,10.975609756097562,20.21660028396465,24.27111295592885,4.054512671964196,4.052089019337634,5.4030222243193515,1.3509332049817164,,,,,,,1.9433887160481524,1.4425575937246902,-0.5008311223234623,20.96534459829461,19.13991380813982,-1.8254307901547904,2.0869810652812464,1.9200896271318184,-0.16689143814942795,0.8670165165077149,1.229158844961405,0.36214232845369004,0.0,0.0,0.0,0.0,county
2829,51019.0,VA,Bedford,168228.05985680193,101565.43395833333,-39.62634173824079,11.16028890088923,9.156390224580344,-2.0038986763088857,11.097837448120117,8.008010864257812,-27.84169960021973,75.465,75.486,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,55.86189436783564,51.23776138495022,-4.624132982885413,27.773617203380766,28.43107464802998,6.536856745479832,7.758533373847867,20.21660028396465,24.27111295592885,4.054512671964196,4.052089019337634,5.4030222243193515,1.3509332049817164,4.836534023284912,4.203871250152588,-13.080912590026855,52204.85546875,54587.96875,4.564926624298096,1.9433887160481524,1.4425575937246902,-0.5008311223234623,20.96534459829461,19.13991380813982,-1.8254307901547904,2.0869810652812464,1.9200896271318184,-0.16689143814942795,0.8670165165077149,1.229158844961405,0.36214232845369004,0.0,0.0,0.0,0.0,county
